,p,k_V,c_V,r,k_T,d_T,K,T_0,V_0,RMSLE
0,99.9999999999204,1200000.0,9.999999999999895e-05,0.00010000000000000009,10.0,0.00010000000011317622,5259814.403108763,946546.4,25.0,4.516940131397233
1,99.99999999998538,1200000.0,9.999999999999912e-05,0.00016102620275609415,10.0,0.00010000000007637233,5235094.009405578,946546.4,25.0,4.503707336027155
2,99.9999999999828,1200000.0,9.999999999999774e-05,0.0002592943797404667,10.0,0.00010000000000714993,5189356.083149209,946546.4,25.0,4.48078845791086
3,99.99953912810147,1200000.0,7.945367178044219e-05,0.00041753189365604024,10.000075906515121,0.00010014295201110635,1666422.1828948134,946546.4,25.0,4.377478562942615
4,99.99998287047084,1200000.0,7.953039081608503e-05,0.0006723357536499342,10.000211887061596,0.00010011356587691367,1678939.9102225192,946546.4,25.0,4.146257830288556
5,99.99999999940422,1200000.0,8.001833326467317e-05,0.0010826367338740558,10.000000335276127,0.00010000040573160396,1716280.4327807156,946546.4,25.0,3.8219786970038143
6,99.99999999917921,1200000.0,8.14611789168831e-05,0.0017433288221999892,10.0,0.00010000000002774456,1816981.3619973748,946546.4,25.0,3.374768546055837
7,99.99999999725605,1200000.0,7.902044827878524e-05,0.0028072162039411777,10.000000141561031,0.00010000003995808138,1734238.4845391237,946546.4,25.0,2.8408204651575852
8,99.99999998903444,1200000.0,7.352361265936125e-05,0.004520353656360246,10.00000362843275,0.00010000016441447102,1541007.2099083657,946546.4,25.0,2.3044189784174836
9,99.99999991060812,1200000.0,5.09330620973382e-05,0.007278953843983159,10.000001080334187,0.00010000169823148886,992155.8780114409,946546.4,25.0,1.9947177418151387
10,99.99999461751756,1200000.0,2.7655119023465067e-05,0.011721022975334809,10.000008448958397,0.00010000104436669321,627779.4769812245,946546.4,25.0,1.8614811055767815
11,99.99972991521204,1200000.0,1.5688333836922247e-05,0.018873918221350972,10.000080205500126,0.00010003749402726081,462548.90801166836,946546.4,25.0,1.7454464696634049
12,99.99347549819515,1200000.0,8.95443104356029e-06,0.030391953823131992,10.000058643519878,0.00010020401571891879,364950.16293357126,946546.4,25.0,1.6169973438566667
13,20.545624437257242,1200000.0,6.774352741815473e-06,0.04893900918477498,10.000000141561031,0.00010000000908932938,990509.8869921165,946546.4,25.0,1.4526902659132077
14,11.109363962980794,1200000.0,4.7511792870439266e-06,0.07880462815669916,10.0,0.00010000000072757365,1769332.718814707,946546.4,25.0,1.2438756935806101
15,7.368959760235143,1200000.0,2.9946160565124836e-06,0.12689610031679222,116.461929500103,0.00010000000125781616,2782427.5034735072,946546.4,25.0,1.080367259701848
16,5.806005346243587,1200000.0,2.070193859886869e-06,0.20433597178569426,1248.2441516816616,0.0430587187426163,3605528.1629788093,946546.4,25.0,1.000204852560185
17,4.7046170086083805,1200000.0,1.319949856248972e-06,0.3290344562312671,5906.788350209594,0.09077611670911351,4444075.960808536,946546.4,25.0,0.987866078683503
18,4.537447671691339,1200000.0,1.1586911898284064e-06,0.5298316906283714,98589.26355057955,0.037168066763915986,3091039.2774367156,946546.4,25.0,1.0641626431888327
19,4.81663635192033,1200000.0,1.3122429117482624e-06,0.8531678524172807,368438.1839033365,0.005339359620137485,2688922.2739535733,946546.4,25.0,1.0976323958072
20,4.855060482809257,1200000.0,1.3127510425957805e-06,1.3738237958832633,765967.7172464654,0.00010000001355542354,2558721.1338503486,946546.4,25.0,1.113691264252791
21,4.840300850959331,1200000.0,1.2838176615090582e-06,2.2122162910704506,1381970.0029812157,0.00010000000000076614,2487785.414048916,946546.4,25.0,1.1237473271567886
22,4.83286797068827,1200000.0,1.2673603149088703e-06,3.56224789026244,2379172.268858269,0.00010000008855348685,2446170.7668478223,946546.4,25.0,1.1300638686651523
23,4.828798353077502,1200000.0,1.2575929361477025e-06,5.736152510448678,3988254.202441238,0.00010000010874433585,2421413.0539969574,946546.4,25.0,1.1340051387298895
24,4.826531126381809,1200000.0,1.251573712479283e-06,9.236708571873862,6581408.225854851,0.00010000001871829367,2406264.5254215477,946546.4,25.0,1.1364577005250718
25,4.825270003094005,1200000.0,1.2481100916350463e-06,14.873521072935121,10757256.132836208,0.00010000000054277702,2396892.114143882,946546.4,25.0,1.1379821557541316
26,4.82442797304472,1200000.0,1.2458251532682766e-06,23.95026619987488,17483767.522067428,0.00010000010254601621,2391300.420038485,946546.4,25.0,1.1389292697163695
27,4.824010679424141,1200000.0,1.2445128497689357e-06,38.5662042116347,28314088.258951735,0.00010000000475290927,2387698.963185556,946546.4,25.0,1.1395175717246582
28,4.823708907136101,1200000.0,1.2436841786957008e-06,62.10169418915616,45753693.248915836,0.00010000000010240706,2385481.7331305444,946546.4,25.0,1.1398829591249626
29,4.823528089258993,1200000.0,1.2431199753983106e-06,99.99999999999994,73838571.76630768,0.0001000000563767256,2384113.220568925,946546.4,25.0,1.1401098826117473
