,K,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-16,4.1000000000000005,356465.6910015636,211188588.4517277
1,1.3219411484660287e-16,4.1000000000000005,356465.6910015636,211188588.4517277
2,1.7475284000076829e-16,4.1000000000000005,356465.6910015636,211188588.4517277
3,2.310129700083158e-16,4.1000000000000005,356465.6910015636,211188588.4517277
4,3.0538555088334123e-16,4.1000000000000005,356465.6910015636,211188588.4517277
5,4.03701725859655e-16,4.1000000000000005,356465.6910015636,211188588.4517277
6,5.336699231206302e-16,4.1000000000000005,356465.6910015636,211188588.45172787
7,7.054802310718631e-16,4.1000000000000005,356465.6910015636,211188588.451728
8,9.32603346883218e-16,4.1000000000000005,356465.69100156246,211188588.45172837
9,1.2328467394420634e-15,4.1000000000000005,356465.69100156345,211188588.45172784
10,1.6297508346206468e-15,4.1000000000000005,356465.691001563,211188588.451728
11,2.1544346900318867e-15,4.1000000000000005,356465.69100156246,211188588.45172754
12,2.8480358684358048e-15,4.1000000000000005,356465.6910015621,211188588.45172784
13,3.764935806792471e-15,4.1000000000000005,356465.6910015633,211188588.45172745
14,4.977023564332114e-15,4.1000000000000005,356465.6910015599,211188588.45172715
15,6.5793322465756826e-15,4.1000000000000005,356465.691001562,211188588.45172656
16,8.697490026177834e-15,4.1000000000000005,356465.69100156,211188588.4517252
17,1.1497569953977357e-14,4.1000000000000005,356465.69100156095,211188588.4517241
18,1.5199110829529332e-14,4.1000000000000005,356465.6910015603,211188588.45172122
19,2.009233002565046e-14,4.1000000000000005,356465.6910015578,211188588.4517152
20,2.656087782946684e-14,4.1000000000000005,356465.69100155425,211188588.4517061
21,3.5111917342151274e-14,4.1000000000000005,356465.6910015483,211188588.45168898
22,4.6415888336127915e-14,4.1000000000000005,356465.69100153877,211188588.45166042
23,6.135907273413189e-14,4.1000000000000005,356465.69100151776,211188588.4516094
24,8.111308307896889e-14,4.1000000000000005,356465.69100148644,211188588.4515213
25,1.0722672220103254e-13,4.1000000000000005,356465.69100142963,211188588.45136628
26,1.4174741629268076e-13,4.1000000000000005,356465.6910013279,211188588.45109472
27,1.8738174228603867e-13,4.1000000000000005,356465.69100115035,211188588.4506206
28,2.477076355991714e-13,4.1000000000000005,356465.69100084616,211188588.44979477
29,3.2745491628777316e-13,4.1000000000000005,356465.6910003108,211188588.44834834
30,4.3287612810830614e-13,4.1000000000000005,356465.69099937746,211188588.44582212
31,5.72236765935022e-13,4.1000000000000005,356465.6909977448,211188588.44140783
32,7.564633275546291e-13,4.1000000000000005,356465.69099488494,211188588.4336913
33,1e-12,4.1000000000000005,356465.69098989386,211188588.42020828
34,1.3219411484660287e-12,4.1000000000000005,356465.69098117517,211188588.39664605
35,1.747528400007683e-12,4.1000000000000005,356465.6909659345,211188588.35547134
36,2.310129700083158e-12,4.1000000000000005,356465.69093929935,211188588.2835159
37,3.0538555088334124e-12,4.1000000000000005,356465.69089276576,211188588.15777346
38,4.03701725859655e-12,4.1000000000000005,356465.6908114324,211188587.9380328
39,5.336699231206302e-12,4.1000000000000005,356465.6906693033,211188587.55403066
40,7.054802310718631e-12,4.1000000000000005,356465.69042093056,211188586.88297665
41,9.32603346883218e-12,4.1000000000000005,356465.6899868927,211188585.71029103
42,1.2328467394420634e-11,4.1000000000000005,356465.6892283977,211188583.66098893
43,1.62975083462064e-11,4.1000000000000005,356465.68790291535,211188580.0797769
44,2.1544346900318868e-11,4.1000000000000005,356465.68558658555,211188573.82150722
45,2.848035868435805e-11,4.1000000000000005,356465.6815387373,211188562.8850084
46,3.764935806792471e-11,4.1000000000000005,356465.6744650113,211188543.77317914
47,4.977023564332114e-11,4.1000000000000005,356465.6621034797,211188510.3747554
48,6.579332246575682e-11,4.1000000000000005,356465.6405014018,211188452.01019162
49,8.697490026177835e-11,4.1000000000000005,356465.60275125713,211188350.0168458
50,1.1497569953977356e-10,4.1000000000000005,356465.53678214655,211188171.7817674
51,1.5199110829529332e-10,4.1000000000000005,356465.42150026007,211187860.31453362
52,2.0092330025650458e-10,4.1000000000000005,356465.2200450043,211187316.0277785
53,2.656087782946695e-10,4.1000000000000005,356464.8680057173,211186364.90505677
54,3.5111917342151416e-10,4.1000000000000005,356464.25283604686,211184702.89442274
55,4.6415888336127913e-10,4.1000000000000005,356463.177908944,211181800.48268875
56,6.135907273413189e-10,4.1000000000000005,356461.2996945169,211176726.4578846
57,8.111308307896889e-10,4.1000000000000005,356458.01828621654,211167862.39548007
58,1.0722672220103253e-09,4.1000000000000005,356452.2864487454,211152381.1648495
59,1.4174741629268078e-09,4.1000000000000005,356442.27757527726,211125354.62300476
60,1.873817422860387e-09,4.1000000000000005,356424.8101683607,211078208.2616886
61,2.4770763559917138e-09,4.1000000000000005,356394.35649465636,210996071.74944144
62,3.2745491628777316e-09,4.1000000000000005,356341.35345523723,210853300.7612841
63,4.328761281083061e-09,4.1000000000000005,356249.37943211384,210606113.68267024
64,5.72236765935022e-09,4.1000000000000005,356090.59566797136,210181006.4863022
65,7.56463327554629e-09,4.1000000000000005,355818.835628347,209458174.0426548
66,1e-08,4.1000000000000005,355360.3294500424,208251855.4601076
67,1.3219411484660288e-08,4.1000000000000005,354604.2130850946,206297299.56791013
68,1.747528400007683e-08,4.1000000000000005,353399.4693693362,203266777.86084136
69,2.310129700083158e-08,4.1000000000000005,351569.39151866036,198842067.40284646
70,3.053855508833412e-08,4.0,348948.91053315194,195159760.33689135
71,4.03701725859655e-08,4.0,345435.6876387245,187539436.8089866
72,5.336699231206302e-08,4.0,341005.7874721734,178643280.2767419
