,c_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-16,10.100000000000001,472131.8403941012,16096655.312972456
1,1.4508287784959373e-16,10.100000000000001,472131.84039410145,16096655.312972486
2,2.1049041445120218e-16,10.100000000000001,472131.840394101,16096655.312972449
3,3.0538555088334123e-16,10.100000000000001,472131.8403941013,16096655.312972505
4,4.4306214575838864e-16,10.100000000000001,472131.840394101,16096655.312972484
5,6.428073117284319e-16,10.100000000000001,472131.8403941004,16096655.312972428
6,9.32603346883218e-16,10.100000000000001,472131.84039410227,16096655.312972516
7,1.3530477745798075e-15,10.100000000000001,472131.8403941018,16096655.31297248
8,1.9630406500402685e-15,10.100000000000001,472131.8403940986,16096655.312972492
9,2.8480358684358048e-15,10.100000000000001,472131.8403941005,16096655.31297247
10,4.132012400115335e-15,10.100000000000001,472131.8403940976,16096655.312972505
11,5.994842503189421e-15,10.100000000000001,472131.8403940966,16096655.312972467
12,8.697490026177834e-15,10.100000000000001,472131.8403940942,16096655.312972577
13,1.2618568830660185e-14,10.100000000000001,472131.8403940895,16096655.312972568
14,1.8307382802953698e-14,10.100000000000001,472131.8403940841,16096655.312972525
15,2.656087782946684e-14,10.100000000000001,472131.8403940768,16096655.312972682
16,3.853528593710535e-14,10.100000000000001,472131.84039406356,16096655.312972758
17,5.590810182512223e-14,10.100000000000001,472131.8403940476,16096655.312972954
18,8.111308307896889e-14,10.100000000000001,472131.84039402107,16096655.312973129
19,1.176811952434999e-13,10.100000000000001,472131.8403939881,16096655.312973391
20,1.7073526474706888e-13,10.100000000000001,472131.8403939359,16096655.312973822
21,2.477076355991714e-13,10.100000000000001,472131.8403938606,16096655.31297439
22,3.593813663804626e-13,10.100000000000001,472131.84039374936,16096655.312975347
23,5.214008287999695e-13,10.100000000000001,472131.8403935904,16096655.312976616
24,7.564633275546291e-13,10.100000000000001,472131.8403933281,16096655.312969739
25,1.097498765493059e-12,10.100000000000001,472131.8403930403,16096655.312984819
26,1.5922827933410938e-12,10.100000000000001,472131.84039254003,16096655.312984651
27,2.310129700083158e-12,10.100000000000001,472131.84039184265,16096655.31299123
28,3.351602650938848e-12,10.100000000000001,472131.8403908355,16096655.313003115
29,4.8626015800653536e-12,10.100000000000001,472131.8403893063,16096655.313000951
30,7.054802310718631e-12,10.100000000000001,472131.8403872002,16096655.313029665
31,1.0235310218990269e-11,10.100000000000001,472131.84038410935,16096655.313061409
32,1.4849682622544695e-11,10.100000000000001,472131.8403795528,16096655.313087167
33,2.1544346900318868e-11,10.100000000000001,472131.84037306404,16096655.313158343
34,3.125715849688235e-11,10.100000000000001,472131.84036348923,16096655.313217755
35,4.5348785081285915e-11,10.100000000000001,472131.8403496935,16096655.31332989
36,6.579332246575682e-11,10.100000000000001,472131.84032970545,16096655.313499968
37,9.545484566618327e-11,10.100000000000001,472131.8403007323,16096655.313753176
38,1.3848863713938747e-10,10.100000000000001,472131.84025855165,16096655.314081363
39,2.009233002565054e-10,10.100000000000001,472131.840197474,16096655.314590093
40,2.915053062825182e-10,10.100000000000001,472131.8401089174,16096655.31534408
41,4.229242874389499e-10,10.100000000000001,472131.83998030383,16096655.316400897
42,6.135907273413189e-10,10.100000000000001,472131.8397937979,16096655.31795981
43,8.902150854450393e-10,10.100000000000001,472131.8395231574,16096655.320206238
44,1.2915496650148826e-09,10.100000000000001,472131.83913047164,16096655.323457059
45,1.873817422860387e-09,10.100000000000001,472131.8385607506,16096655.328172194
46,2.7185882427329512e-09,10.100000000000001,472131.83773420623,16096655.33502041
47,3.944206059437664e-09,10.100000000000001,472131.83653507,16096655.344965817
48,5.72236765935022e-09,10.100000000000001,472131.83479529363,16096655.359386325
49,8.302175681319769e-09,10.100000000000001,472131.83227112755,16096655.380293347
50,1.2045035402587836e-08,10.100000000000001,472131.82860906736,16096655.410646321
51,1.7475284000076902e-08,10.100000000000001,472131.8232961356,16096655.454707459
52,2.5353644939701166e-08,10.100000000000001,472131.8155877681,16096655.518575702
53,3.678379771828634e-08,10.100000000000001,472131.80440436996,16096655.611270051
54,5.336699231206324e-08,10.100000000000001,472131.7881791626,16096655.745750185
55,7.742636826811277e-08,10.100000000000001,472131.76463905786,16096655.940827882
56,1.1233240329780311e-07,10.100000000000001,472131.7304865357,16096656.223888606
57,1.6297508346206468e-07,10.100000000000001,472131.6809370991,16096656.63456457
58,2.3644894126454072e-07,10.100000000000001,472131.6090493519,16096657.230377505
59,3.430469286314926e-07,10.100000000000001,472131.50475250103,16096658.09477426
60,4.977023564332114e-07,10.100000000000001,472131.35343577416,16096659.348872174
61,7.220809018385486e-07,10.100000000000001,472131.1339013488,16096661.16834569
62,1.0476157527896663e-06,10.100000000000001,472130.8153947651,16096663.808016159
63,1.5199110829529394e-06,10.100000000000001,472130.35329730826,16096667.637701048
64,2.2051307399030503e-06,10.100000000000001,472129.6828746798,16096673.193706417
65,3.1992671377973847e-06,10.100000000000001,472128.71021012135,16096681.25418232
66,4.641588833612791e-06,10.100000000000001,472127.2990482132,16096692.947745806
67,6.7341506577508285e-06,10.100000000000001,472125.2517109242,16096709.911558745
68,9.770099572992287e-06,10.100000000000001,472122.2814103258,16096734.519737143
69,1.4174741629268077e-05,10.100000000000001,472117.9720873692,16096770.214929849
70,2.05651230834866e-05,10.100000000000001,472111.7201545813,16096821.987648664
71,2.9836472402833465e-05,10.100000000000001,472102.6500006266,16096897.069557114
72,4.328761281083062e-05,10.100000000000001,472089.4914553974,16097005.93450832
73,6.280291441834272e-05,10.100000000000001,472070.40212215314,16097163.739865925
