,c,Viral Clearance Time,Total Viral Load,Excess CTL
0,0.01,19.0,11962723.481166985,5.486681568122365e+20
1,0.010974987654930561,19.0,11871341.712881666,4.1284685219284124e+20
2,0.012045035402587823,19.0,11772147.792485148,3.031826713565908e+20
3,0.013219411484660288,19.0,11664587.236862782,2.169228027453337e+20
4,0.014508287784959394,19.0,11548088.765079148,1.509446886969326e+20
5,0.015922827933410922,19.0,11422068.546090873,1.0196512689618423e+20
6,0.01747528400007684,19.0,11285935.970241958,6.674309282932654e+19
7,0.019179102616724886,19.0,11139100.690007102,4.2255363333985e+19
8,0.02104904144512021,19.0,10980981.267031139,2.582793544791216e+19
9,0.023101297000831605,19.0,10811015.558371488,1.5214816453935528e+19
10,0.025353644939701114,19.0,10628672.982463798,8.623674704113295e+18
11,0.027825594022071243,19.0,10433468.768461186,4.695779647218068e+18
12,0.030538555088334154,19.0,10224980.237450134,2.453222457546677e+18
13,0.033516026509388425,19.0,10002865.109619826,1.2283218401683292e+18
14,0.03678379771828634,19.0,9766881.564913465,5.889811530555393e+17
15,0.040370172585965536,19.0,9516910.136986297,2.7035687029184365e+17
16,0.044306214575838825,19.0,9252976.537332842,1.188086944222978e+17
17,0.04862601580065353,19.0,8975275.128758516,5.001383320005965e+16
18,0.0533669923120631,19.0,8684192.040925063,2.0191929975242332e+16
19,0.05857020818056667,19.0,8380326.882304401,7832767681345199.0
20,0.06428073117284322,19.0,8064511.634441786,2926981037484273.0
21,0.07054802310718646,19.0,7737825.219448648,1057168289216597.0
22,0.0774263682681127,19.0,7401601.931440055,370583431139966.0
23,0.08497534359086446,19.0,7057431.899812922,126704051010405.08
24,0.093260334688322,19.0,6707151.763243858,42495032454548.445
25,0.10235310218990264,19.0,6352823.956199493,14070713196658.201
26,0.11233240329780277,19.0,5996703.4472635,4632067155956.973
27,0.12328467394420665,19.0,5641191.460020982,1527445895166.8633
28,0.13530477745798075,19.0,5288776.648065373,508465798732.7587
29,0.1484968262254465,19.0,4941965.355297388,172211835809.56616
30,0.16297508346206444,19.0,4603203.90650497,59798805997.46332
31,0.1788649529057435,19.0,4274797.214811491,21443014959.275284
32,0.19630406500402714,19.0,3958828.8811509265,7992491747.972053
33,0.21544346900318845,19.0,3657089.115385099,3114051471.517427
34,0.23644894126454083,19.0,3371016.4144830746,1274048668.1602404
35,0.25950242113997374,19.0,3101658.2668684376,549162673.4571089
36,0.2848035868435802,19.0,2849654.966368985,249892130.20734143
37,0.3125715849688237,19.0,2615248.0474286904,120136048.29631911
38,0.34304692863149194,19.0,2398311.6467143786,60993605.270209126
39,0.37649358067924693,19.0,2198403.681038872,32655765.68503885
40,0.41320124001153385,19.0,2014829.7821454974,18395518.623280372
41,0.4534878508128584,19.0,1846713.0117030758,10871368.878012527
42,0.49770235643321115,19.0,1693062.3182752875,6718107.292839568
43,0.5462277217684343,19.0,1552832.9477241647,4325978.507064933
44,0.5994842503189411,19.0,1424974.9457442309,2892454.5150754284
45,0.6579332246575682,19.0,1308468.5919050644,2001265.896908981
46,0.7220809018385468,18.7,1202344.130877379,5769077.205959899
47,0.7924828983539177,17.400000000000002,1105698.3626686723,18781474.7865783
48,0.8697490026177834,16.2,1017705.6440809632,25098952.757778082
49,0.9545484566618342,15.100000000000001,937595.9835629275,27662666.76082848
50,1.0476157527896652,14.100000000000001,864664.9844641467,28116008.88398983
51,1.149756995397737,13.200000000000001,798266.8987392699,27392997.32450737
52,1.261856883066021,12.4,737808.0189648236,26031489.678058393
53,1.384886371393873,11.700000000000001,682740.4450229275,24343909.80436764
54,1.5199110829529348,11.100000000000001,632556.3651695452,22512330.693452414
55,1.6681005372000592,10.700000000000001,586784.1626917034,20327189.455583427
56,1.8307382802953698,10.3,544980.6694190276,18517602.912004367
57,2.0092330025650478,10.100000000000001,506735.91317081644,16515650.00257492
58,2.2051307399030455,10.200000000000001,471668.3693825142,14217617.914050303
59,2.4201282647943834,10.5,439425.55993200024,11970230.17871046
60,2.656087782946687,10.9,409687.30557999044,9980725.918313576
61,2.9150530628251787,11.4,382166.8826884112,8219417.627604162
62,3.1992671377973845,11.9,356609.18796532333,6779420.336407538
63,3.5111917342151346,12.5,332793.0876195717,5490943.607545906
64,3.8535285937105312,13.100000000000001,310525.3215272508,4431490.724987641
65,4.229242874389499,13.8,289641.7261858792,3478179.227518155
66,4.641588833612782,14.4,269998.73402550205,2761245.747791767
67,5.09413801481638,15.200000000000001,251477.89807577204,2045051.0903095263
68,5.590810182512229,15.9,233971.46784240528,1508441.9885901827
69,6.135907273413176,16.8,217391.43193365113,971733.5151169756
70,6.7341506577508286,17.7,201655.9694117787,532189.5165710362
71,7.390722033525782,18.7,186693.4018530509,136911.5648868305
72,8.111308307896872,19.0,172433.4252236241,31663.683787610862
73,8.902150854450392,19.0,158808.02615523263,29704.22523711865
74,9.770099572992256,19.0,145748.29514613145,27989.708412641558
75,10.722672220103243,19.0,133151.31988906945,26488.76699982077
76,11.768119524349991,19.0,120846.73232017753,25146.45557966676
77,12.91549665014884,19.0,108465.49360752132,23835.946538057495
78,14.174741629268063,19.0,95150.12603848356,22237.093208910024
79,15.556761439304722,19.0,78948.09872006232,19590.142679825552
80,17.07352647470692,19.0,56627.8187030651,14626.370035807266
81,18.73817422860385,19.0,29066.760318719196,7526.152468223032
82,20.565123083486537,19.0,9411.223417407185,2387.247782731359
83,22.570197196339215,19.0,2377.2604818982422,591.7985802673619
84,24.770763559917114,19.0,590.39045220055,147.7754952206742
85,27.185882427329428,19.0,138.29675282526003,40.86601631144295
86,29.836472402833405,0.0,2.5,775.0498568026464
87,32.745491628777316,0.0,2.5,374.68399348304393
88,35.938136638046295,0.0,2.5,207.136757981265
89,39.4420605943766,0.0,2.5,127.88623643798054
90,43.287612810830616,0.0,2.5,86.06593526246725
91,47.50810162102798,0.0,2.5,61.823018291860386
92,52.140082879996896,0.0,2.5,46.62431430559376
93,57.223676593502205,0.0,2.5,36.4669816398411
94,62.802914418342596,0.0,2.5,29.319824755610902
95,68.92612104349702,0.0,2.5,24.078105449548456
96,75.64633275546291,0.0,2.5,20.103406504122525
97,83.02175681319753,0.0,2.5,17.006851583987
98,91.11627561154896,0.0,2.5,14.540531647985327
99,100.0,0.0,2.5,12.540063229296358
