,d_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,0.0001,8.3,839780.5531064717,35790592.662808135
1,0.00010974987654930556,8.3,839801.5470209451,35787952.23282693
2,0.00012045035402587823,8.3,839824.588478513,35785054.67876591
3,0.00013219411484660288,8.3,839849.8772474722,35781874.99562818
4,0.000145082877849594,8.3,839877.6326011759,35778385.75368636
5,0.00015922827933410923,8.3,839908.0952251875,35774556.86448113
6,0.0001747528400007683,8.3,839941.5293118295,35770355.32512673
7,0.00019179102616724886,8.3,839978.2248603238,35765744.93793118
8,0.00021049041445120198,8.3,840018.5002028395,35760686.003518246
9,0.00023101297000831605,8.3,840062.7047787857,35755134.9855458
10,0.00025353644939701115,8.3,840111.2221824575,35749044.14211498
11,0.0002782559402207126,8.3,840164.4735100233,35742361.130607806
12,0.0003053855508833416,8.3,840222.9210380168,35735028.54893756
13,0.0003351602650938841,8.3,840287.0722580912,35726983.6444834
14,0.0003678379771828634,8.3,840357.4843373613,35718157.09950022
15,0.0004037017258596554,8.3,840434.7689401046,35708473.408648945
16,0.0004430621457583882,8.3,840519.597672938,35697849.94857231
17,0.00048626015800653534,8.3,840612.7079130259,35686195.789687455
18,0.0005336699231206312,8.3,840714.9093113857,35673411.54339896
19,0.0005857020818056667,8.3,840827.0909086724,35659388.241592675
20,0.0006428073117284319,8.3,840950.2289759739,35644006.602369
21,0.0007054802310718645,8.3,841085.3956262532,35627136.00544204
22,0.000774263682681127,8.3,841233.7682951259,35608633.40625925
23,0.0008497534359086447,8.3,841396.6401748344,35588342.42376117
24,0.0009326033468832199,8.3,841575.4316928833,35566091.85164617
25,0.001023531021899027,8.3,841771.7031550024,35541694.32533076
26,0.0011233240329780276,8.3,841987.168670803,35514945.1667026
27,0.0012328467394420659,8.3,842223.7091648679,35485620.19507406
28,0.0013530477745798076,8.3,842483.3931937754,35453476.04758412
29,0.001484968262254465,8.3,842768.5024615584,35418244.591935515
30,0.0016297508346206436,8.3,843081.5321222947,35379634.663054
31,0.001788649529057435,8.3,843425.2279899055,35337328.50743927
32,0.0019630406500402726,8.3,843802.6197194668,35290980.33167096
33,0.0021544346900318843,8.3,844217.0064698235,35240211.216769665
34,0.002364489412645407,8.4,844673.061069416,34854821.7718808
35,0.002595024211399737,8.4,845172.8008193768,34794110.62715914
36,0.002848035868435802,8.4,845721.6368389536,34727651.13849112
37,0.0031257158496882354,8.4,846324.4368149204,34654916.89003337
38,0.003430469286314919,8.4,846986.5527584911,34575337.46000591
39,0.0037649358067924714,8.4,847713.8800880949,34488294.92042545
40,0.0041320124001153384,8.4,848512.9115302941,34393120.525265105
41,0.004534878508128582,8.4,849390.8021194923,34289092.85783811
42,0.004977023564332114,8.4,850355.444770949,34175432.82901037
43,0.0054622772176843425,8.4,851415.5198693769,34051303.27684546
44,0.005994842503189409,8.4,852580.6269566147,33915803.79879536
45,0.006579332246575682,8.4,853861.3540127998,33767971.94616532
46,0.007220809018385471,8.4,855269.3836305264,33606776.97675914
47,0.007924828983539177,8.4,856817.669356426,33431121.887861017
48,0.008697490026177835,8.4,858520.4560526564,33239843.13072074
49,0.009545484566618348,8.4,860393.5668099363,33031708.339604266
50,0.010476157527896652,8.4,862454.505213711,32805421.768902935
51,0.011497569953977368,8.5,864723.7100833205,32236550.40981216
52,0.012618568830660211,8.5,867220.6807041808,31970615.73159851
53,0.013848863713938732,8.5,869970.3263199452,31682362.42122797
54,0.015199110829529346,8.5,872999.1866248398,31370294.853545506
55,0.016681005372000592,8.5,876336.8247314682,31032893.080058567
56,0.018307382802953697,8.5,880016.2680135232,30668630.579772588
57,0.02009233002565048,8.6,884075.3101632701,29959337.645842656
58,0.022051307399030457,8.6,888553.1253634883,29538189.847164188
59,0.024201282647943835,8.6,893496.7393966092,29085910.55516982
60,0.026560877829466867,8.6,898957.8357076099,28601221.6707957
61,0.02915053062825179,8.700000000000001,904995.7022371911,27773132.95023537
62,0.03199267137797385,8.700000000000001,911673.7972704745,27222322.28291375
63,0.03511191734215135,8.8,919068.1549902239,26331510.59548126
64,0.03853528593710531,8.8,927260.8088626033,25712674.554950193
65,0.04229242874389499,8.9,936349.0093532578,24759484.735443506
66,0.04641588833612782,8.9,946439.6149115002,24073766.24059897
67,0.0509413801481638,9.0,957658.9545791801,23062255.650829457
68,0.055908101825122285,9.1,970149.0905409516,22026866.424155246
69,0.061359072734131756,9.1,984074.0939116884,21254294.70834952
70,0.06734150657750829,9.200000000000001,999627.294302496,20176754.029215533
71,0.07390722033525783,9.3,1017030.8507819306,19087522.451152366
72,0.08111308307896872,9.5,1036547.6146848577,17725957.020520817
73,0.08902150854450393,9.600000000000001,1058484.6926288127,16638721.053189091
74,0.09770099572992257,9.8,1083212.013699824,15309811.737459818
75,0.10722672220103242,10.0,1111170.1519292032,14016666.523539104
76,0.1176811952434999,19.0,1142917.717955781,82144.91446018996
77,0.1291549665014884,19.0,1179282.9996779938,75620.21248650474
78,0.14174741629268062,19.0,1222101.0999633516,79780.18897659954
79,0.15556761439304723,19.0,1275596.9074151297,99325.21559951571
80,0.1707352647470692,19.0,1342821.0388325695,123331.65268183476
81,0.1873817422860385,19.0,1420811.8697776247,143268.7406646669
82,0.20565123083486536,19.0,1507056.080920674,156063.08112691768
83,0.22570197196339215,19.0,1603984.742357573,161415.67641958073
84,0.24770763559917114,19.0,1716832.0105619049,160450.3884962042
85,0.2718588242732943,19.0,1852382.7611165054,154669.24666177048
86,0.298364724028334,19.0,2020425.477262063,145583.29098140547
