,p,k_V,c_V,r,k_T,d_T,T_0,V_0,RMSLE
0,0.010000000000000004,1200000.0,2.005537701530699e-08,99.9999999998335,10314.666106641293,0.2100881065284972,946546.4,25.0,4.579590850846326
1,0.013738237958832639,1200000.0,2.1765775692381237e-08,99.99999999910563,10423.447304464877,0.2053904866230566,946546.4,25.0,4.576660199451181
2,0.018873918221350972,1200000.0,2.4071714614205613e-08,99.99999999992562,10568.171853870153,0.19937243616281924,946546.4,25.0,4.57257688036175
3,0.025929437974046683,1200000.0,2.7158593153717386e-08,99.99999999988182,10758.744485408068,0.19185240476249377,946546.4,25.0,4.566861034796766
4,0.035622478902624426,1200000.0,3.125053883953243e-08,99.99999999984848,11006.455957889557,0.18277106469804627,946546.4,25.0,4.558812414339048
5,0.04893900918477494,1200000.0,3.660134750575121e-08,99.99999999993113,11323.567811653018,0.17231397995653586,946546.4,25.0,4.547394510011047
6,0.06723357536499339,1200000.0,4.3465851297078584e-08,99.99999999965517,11723.014846779406,0.16108690607546056,946546.4,25.0,4.53104894707055
7,0.09236708571873864,1200000.0,5.203651787308842e-08,99.99999999961332,12220.122596934438,0.150338709018711,946546.4,25.0,4.507392692735699
8,0.12689610031679222,1200000.0,6.232597126570036e-08,99.9999999996713,12843.186671197414,0.14220077629576827,946546.4,25.0,4.472714366671145
9,0.17433288221999876,1200000.0,7.40002039453875e-08,99.99999999985624,13678.56668832153,0.13972522048794145,946546.4,25.0,4.421121882274015
10,0.23950266199874848,1200000.0,8.63670886045619e-08,99.9999999998042,15037.50653642416,0.14562122204489447,946546.4,25.0,4.343157116289337
11,0.3290344562312668,1200000.0,9.941378683512545e-08,99.99999999774346,17937.956875629723,0.1568952019866196,946546.4,25.0,4.2242392873438845
12,0.4520353656360242,1200000.0,1.1566074143492199e-07,99.99999999950819,25039.70231743902,0.16244355250588188,946546.4,25.0,4.045153501858397
13,0.6210169418915613,1200000.0,1.3898638159715347e-07,99.99999999998042,43829.90057366341,0.16008663839132048,946546.4,25.0,3.7855815407959477
14,0.8531678524172807,1200000.0,1.7546858044138655e-07,99.99999999997044,104414.8364436999,0.1554885952486898,946546.4,25.0,3.430229131581309
15,1.1721022975334792,1200000.0,2.370062065356021e-07,99.99999999970065,353392.3313058391,0.15024071300323594,946546.4,25.0,2.9782571749120805
16,1.6102620275609385,1200000.0,3.398323673805379e-07,99.99999999974992,1571888.9514187574,0.1430293821574125,946546.4,25.0,2.4432048376308844
17,2.212216291070449,1200000.0,5.237137195782517e-07,4.509822287096817,269029.3569049537,0.12268256637952929,946546.4,25.0,1.8797776938842625
18,3.039195382313195,1200000.0,8.367347176127551e-07,0.6370065507679641,16772.936701335013,0.11735939411154384,946546.4,25.0,1.4076080372243627
19,4.175318936560399,1200000.0,1.3726576737170266e-06,0.3973061693249704,6176.127328701317,0.10211726834464907,946546.4,25.0,1.0826384830327331
20,5.736152510448673,1200000.0,2.3996552388894953e-06,0.25568322276303235,2129.8765065521,0.07058643305448797,946546.4,25.0,0.9989293823269453
21,7.8804628156699055,1200000.0,4.163907188239678e-06,0.15269550200849835,376.0136108100414,0.02264037263225277,946546.4,25.0,1.0786248693665086
22,10.826367338740537,1200000.0,6.641628316233257e-06,0.102827240300158,10.0,0.011100000000215826,946546.4,25.0,1.2029744155776065
23,14.873521072935095,1200000.0,1.0574063265930618e-05,0.07452062782913771,10.00000000745058,0.011100000015556721,946546.4,25.0,1.3722517250621113
24,20.4335971785694,1200000.0,1.6294666518841472e-05,0.05263041518170297,10.000000052154064,0.011100000034516555,946546.4,25.0,1.538607293309861
25,28.07216203941175,1200000.0,2.4301814223102224e-05,0.03692887175790105,10.000000022351742,0.011100000142390931,946546.4,25.0,1.6820865528598263
26,38.56620421163467,1200000.0,3.53517633969776e-05,0.025970871251885796,10.000000290572643,0.011100000005435262,946546.4,25.0,1.8036191058575433
27,52.983169062837035,1200000.0,5.054173705750881e-05,0.01836089280466524,10.000000722706318,0.011100000003640309,946546.4,25.0,1.9090180263556948
28,72.78953843983146,1200000.0,7.140760199825675e-05,0.01305971077778878,10.0,0.011100000000339172,946546.4,25.0,2.0039483851811446
29,99.99999999999994,1200000.0,9.999999996282454e-05,0.009455388307046064,10.000000074505806,0.011100000008566313,946546.4,25.0,2.092907361998241
