,p,k_V,c_V,r,k_T,d_T,T_0,V_0,RMSLE
0,0.08027334665434438,1200000.0,1.0000000000000018e-08,0.37083858839948647,10.0,0.420424821484509,946546.4,25.0,4.567796041250593
1,0.0883986109668129,1200000.0,1.3738237958832657e-08,0.37065340827436444,10.0,0.41212172765914296,946546.4,25.0,4.562278311438614
2,1.106992681008336,1200000.0,1.8873918221351015e-08,99.99999999970774,975679.612313047,0.4077316752622727,946546.4,25.0,4.394988110409722
3,1.1632323495727448,1200000.0,2.5929437974046743e-08,99.99999999180653,1338199.0316783339,0.3622561330781275,946546.4,25.0,4.1697708591120275
4,1.2201379806767108,1200000.0,3.562247890262453e-08,99.99999999974564,1772719.6528481767,0.32208820397320326,946546.4,25.0,3.940749131650083
5,1.4755141040075586,1200000.0,4.8939009184775094e-08,2.0182497948367555,12528.16706585139,0.3291566964682875,946546.4,25.0,3.6646970075308056
6,1.6903556298814948,1200000.0,6.723357536499336e-08,54.42105074368862,2601569.7758249566,0.2523564165560018,946546.4,25.0,3.4260344272329104
7,1.8204504436037112,1200000.0,9.236708571873864e-08,99.99999999921668,7454748.78700766,0.21414777033458798,946546.4,25.0,3.1307207711569913
8,1.9419874527240353,1200000.0,1.2689610031679227e-07,99.99999999974474,10002144.626349576,0.1832648220197265,946546.4,25.0,2.8356047292889013
9,2.062691607825755,1200000.0,1.7433288221999894e-07,99.99997899793999,12329768.586030163,0.1583452622817273,946546.4,25.0,2.548397067569684
10,2.3130791758971867,1200000.0,2.395026619987488e-07,0.9956836588753362,14671.925226464868,0.18791300171972863,946546.4,25.0,2.2697815003982744
11,2.5758129685422375,1200000.0,3.2903445623126725e-07,0.851271280938974,13694.678071551025,0.16658484224841386,946546.4,25.0,1.9947340051123013
12,2.8880250698124783,1200000.0,4.52035365636025e-07,0.7232534624479925,12234.62097646296,0.14772424173745208,946546.4,25.0,1.7310150975996463
13,3.2457360814314455,1200000.0,6.210169418915627e-07,0.609563243588255,10100.748361341655,0.13236504617515865,946546.4,25.0,1.4876103863535224
14,3.6575049393600167,1200000.0,8.531678524172826e-07,0.508843425590797,7587.180459856987,0.12040835139904005,946546.4,25.0,1.2778849515869235
15,4.149906971635858,1200000.0,1.1721022975334808e-06,0.4207136463323238,5260.835786625743,0.11065556744123806,946546.4,25.0,1.118218678692715
16,4.757948692488938,1200000.0,1.6102620275609406e-06,0.3441172340325167,3441.457679875195,0.10118882429059439,946546.4,25.0,1.0238696466588035
17,5.487140661986572,1200000.0,2.2122162910704516e-06,0.27349920341914924,2480.686834424734,0.0773621682765468,946546.4,25.0,0.9971446200754382
18,6.400704827452223,1200000.0,3.0391953823131964e-06,0.208484598931598,1829.589201003313,0.04196791990138471,946546.4,25.0,1.0182538491641062
19,7.630849933569664,1200000.0,4.175318936560401e-06,0.15427773526448618,1065.040551647544,0.011100000812017286,946546.4,25.0,1.0722726904031714
20,9.57915725010593,1200000.0,5.73615251044868e-06,0.11227126099287688,45.998140051960945,0.01110000000012229,946546.4,25.0,1.155506011838539
21,11.89266867883434,1200000.0,7.880462815669915e-06,0.08924911693410564,10.0,0.011100000000039745,946546.4,25.0,1.2556913886004535
22,14.853751418985262,1200000.0,1.0826367338740554e-05,0.07076399039762293,10.0,0.011100000000045906,946546.4,25.0,1.3762681059090562
23,18.81883044794052,1200000.0,1.487352107293513e-05,0.054993813935077185,10.0,0.01110000000003053,946546.4,25.0,1.5006570713228322
24,24.181566371375546,1200000.0,2.0433597178569445e-05,0.041959558239220485,10.0,0.011100000014510836,946546.4,25.0,1.6195631304780738
25,31.48769850776209,1200000.0,2.8072162039411814e-05,0.03152604362785638,10.000000029802322,0.011100000000685062,946546.4,25.0,1.7292813856175486
26,41.485065742316706,1200000.0,3.856620421163472e-05,0.023410209199390408,10.0,0.011100000000030308,946546.4,25.0,1.8295690537560847
27,55.195640391311656,1200000.0,5.2983169062837105e-05,0.01724415892916653,10.000000074505806,0.011100000000353716,946546.4,25.0,1.9220140613302543
28,74.0173876429175,1200000.0,7.278953843983155e-05,0.012643430846125625,10.000000022351742,0.01110000000190453,946546.4,25.0,2.0089088017879337
29,99.86689905513711,1200000.0,0.00010000000000000009,0.009256887726287744,10.000000074505806,0.011100000073632432,946546.4,25.0,2.0925571256591096
