,p,k_V,c_V,r,k_T,d_T,T_0,V_0,RMSLE
0,6.807635167462209,1200000.0,2.965169679142464e-06,0.1994411034396748,9.999999999999998,0.08917635378801447,946546.4,25.0,1.0705259772357976
1,6.7126104949207885,1200000.0,2.9043455989022026e-06,0.20222964578400138,17.433288221999877,0.08885512905449483,946546.4,25.0,1.0649248848485406
2,6.59640733173066,1200000.0,2.8327539850021824e-06,0.20610024442132868,30.391953823131956,0.08894063847991102,946546.4,25.0,1.0582483686029207
3,6.459386697102261,1200000.0,2.750454484720487e-06,0.21124368450133346,52.98316906283706,0.08942411367805475,946546.4,25.0,1.05041804044339
4,6.306062408487932,1200000.0,2.659860595954779e-06,0.21771572916063064,92.36708571873858,0.09015716761883635,946546.4,25.0,1.0415343204629677
5,6.143816675450481,1200000.0,2.5650897223631857e-06,0.2254511689152494,161.02620275609377,0.09086815099915957,946546.4,25.0,1.0318913764641469
6,5.980898002858133,1200000.0,2.470862546493738e-06,0.23430213416640555,280.72162039411734,0.09117310468175327,946546.4,25.0,1.0219864643393926
7,5.826474979830337,1200000.0,2.3831867426804155e-06,0.24394845606754245,489.3900918477489,0.09050218987652087,946546.4,25.0,1.012542339111755
8,5.687747319782595,1200000.0,2.3071494760907628e-06,0.2540511322246246,853.1678524172805,0.08823000847367396,946546.4,25.0,1.0045081598334813
9,5.570475682127309,1200000.0,2.247447448146867e-06,0.2642836777367563,1487.3521072935102,0.08378106140961444,946546.4,25.0,0.9989956320323946
10,5.477705801187682,1200000.0,2.2070772246049602e-06,0.2745819195789281,2592.943797404664,0.07687489828448857,946546.4,25.0,0.9971585253246658
11,5.410214957594036,1200000.0,2.187496903396215e-06,0.2853066757122136,4520.353656360236,0.06760441212727619,946546.4,25.0,1.000038850403622
12,5.366290481984429,1200000.0,2.1877585728980503e-06,0.29755728712732576,7880.462815669896,0.05645637071394982,946546.4,25.0,1.0083462960714349
13,5.3435773857928055,1200000.0,2.206560573743348e-06,0.3132302153417825,13738.23795883262,0.044094788847639343,946546.4,25.0,1.022168512076429
14,5.33890979648374,1200000.0,2.241450042290585e-06,0.3354787862066999,23950.26619987483,0.03128061791652792,946546.4,25.0,1.0407687846653628
15,5.34970454376387,1200000.0,2.2900191496812847e-06,0.3692234154476779,41753.189365603954,0.018704646760385524,946546.4,25.0,1.062668543728662
16,5.304207494146048,1200000.0,2.286112922157842e-06,0.43371537596095067,72789.53843983138,0.01110000000086353,946546.4,25.0,1.0862768568838084
17,5.151475382789869,1200000.0,2.186876364357482e-06,0.5611584976573667,126896.10031679194,0.011100000000013821,946546.4,25.0,1.1125486831348794
18,5.0210772073810475,1200000.0,2.11069735391137e-06,0.769502492356537,221221.6291070443,0.011100000000003551,946546.4,25.0,1.139436698575147
19,4.920295171948105,1200000.0,2.0592602871515346e-06,1.120477658271838,385662.0421163467,0.01110000000000061,946546.4,25.0,1.1636825949779968
20,4.849566270702937,1200000.0,2.0285374456692216e-06,1.72359925223369,672335.7536499324,0.011100000000000831,946546.4,25.0,1.182954843841697
21,4.803600090059547,1200000.0,2.01172187601253e-06,2.7701420181637104,1172102.2975334777,0.011100000000005328,946546.4,25.0,1.1966932856300054
22,4.775328939828434,1200000.0,2.0028808303996048e-06,4.592224983531018,2043359.7178569369,0.011100000049423575,946546.4,25.0,1.2057241772988192
23,4.758306430504291,1200000.0,1.9982526256234133e-06,7.768648870824428,3562247.890262432,0.011100000000019705,946546.4,25.0,1.2113479061808703
24,4.748347141879165,1200000.0,1.995764216488164e-06,13.305627409911004,6210169.418915595,0.011100000000130672,946546.4,25.0,1.21473373393309
25,4.742576009709573,1200000.0,1.994432030014758e-06,22.95851704976215,10826367.338740543,0.011100000000000054,946546.4,25.0,1.2167314627620112
26,4.739234594310361,1200000.0,1.99368366355168e-06,39.78668540389929,18873918.221350927,0.011100000000001053,946546.4,25.0,1.2178962213623314
27,4.737369262316207,1200000.0,1.9933615107548975e-06,69.12507647667515,32903445.623126652,0.011100000000050403,946546.4,25.0,1.2185706313812732
28,5.119747044708696,1200000.0,2.1084597332294457e-06,99.99999999999764,57361525.10448661,0.01110000000000072,946546.4,25.0,1.2570237250543377
29,8.094153626393151,1200000.0,4.3420500045630175e-06,99.99999997792175,99999999.99999982,0.011100000105828234,946546.4,25.0,1.9555073379561974
