,Resample,RMSLE,p,k_V,c_V,r,k_T,d_T,T_0,V_0
0,1.0,0.963193853641578,6.663758961283854,1200000.0,3.328660412081039e-06,0.19308655630879912,3186.0430173277855,0.011,944798.8,25.0
1,2.0,1.0175377919776998,6.359387895106039,1200000.0,2.8773533101367484e-06,0.2138156399881126,5902.357587210834,0.011,1007467.6,25.0
2,3.0,0.8930643938451197,5.933723949707691,1200000.0,2.8570519661369294e-06,0.22862016347400527,4810.974034272134,0.011,883877.6,25.0
3,4.0,1.0657016973952624,5.9982000155919835,1200000.0,2.7857891532734777e-06,0.23114606628352874,6700.487649671733,0.011,943588.4,25.0
4,5.0,0.9231606882154944,5.440995963671561,1200000.0,2.578035677923982e-06,0.23628249440604066,4104.536836951971,0.011,893860.0,25.0
5,6.0,1.0396615055617582,5.589335051089471,1200000.0,2.621354866638449e-06,0.24011859330563112,4763.604038484395,0.011,872827.6,25.0
6,7.0,1.092559199017922,6.367548596498779,1200000.0,2.9282494280367404e-06,0.20752864524884274,5386.366858243942,0.011,1036163.6,25.0
7,8.0,1.0090170956164912,6.352758845606807,1200000.0,3.0091964636498643e-06,0.1991060451239548,3421.5107755437493,0.011,996274.8,25.0
8,9.0,1.034041893134117,6.523956976183904,1200000.0,3.048770807174736e-06,0.1994287423855141,3954.7794034853578,0.011,1010425.6,25.0
9,10.0,1.0354464224595687,6.3346692587526405,1200000.0,2.7527491513537345e-06,0.22118847532266273,6168.041036985815,0.011,1010425.6,25.0
10,11.0,0.9443416673316982,5.627801978012236,1200000.0,2.564117020838811e-06,0.24883112411077235,6440.213868446648,0.011,888583.2,25.0
11,12.0,1.0228153406842906,6.307576751042973,1200000.0,2.971901565114003e-06,0.20912238115687387,5348.613029554486,0.011,1004509.6,25.0
12,13.0,1.0698958369629465,5.360909219899966,1200000.0,2.6615268416073956e-06,0.2541611263690129,4834.1553656458855,0.011,790731.2,25.0
13,14.0,1.0909174170545048,5.898287076630204,1200000.0,2.690176237568067e-06,0.2322316921674883,6934.129230186343,0.011,980519.2,25.0
14,15.0,1.0872968430693624,6.120267975895473,1200000.0,2.9579884520152105e-06,0.21987933930285664,4832.743149839342,0.011,922556.0,25.0
15,16.0,1.0803085490278042,6.026969088550857,1200000.0,2.7919788027411366e-06,0.21868653705723062,5749.4272902831435,0.011,999232.8,25.0
16,17.0,0.9770657510851436,6.073442276283856,1200000.0,2.69842638348083e-06,0.22535335271123813,5424.940737098455,0.011,983477.2,25.0
17,18.0,0.9478728495997679,6.289357099283926,1200000.0,2.822560824487505e-06,0.21763657630950206,4672.906516090035,0.011,970536.8,25.0
18,19.0,1.0408670709914698,5.54804657184097,1200000.0,2.6864658851101544e-06,0.24972452197259543,4943.6422500014305,0.011,817040.4,25.0
19,20.0,1.0176759694498858,5.888878777224981,1200000.0,2.6938929960537266e-06,0.22757584535399644,5024.266517281532,0.011,938882.8,25.0
20,21.0,0.9355030132750973,5.596301514635172,1200000.0,2.6250070995290363e-06,0.26565704645649646,7855.959741823375,0.011,822956.4,25.0
21,22.0,1.005321407778712,6.516658752813562,1200000.0,2.9145756428457e-06,0.20441035462545187,4371.2607536539435,0.011,1030886.8,25.0
22,23.0,1.0176316843583926,6.026319030363844,1200000.0,2.7886363826790103e-06,0.2228928742674725,5216.848961465061,0.011,949504.4,25.0
23,24.0,1.0544597555690502,6.034567824703643,1200000.0,2.8669055011462555e-06,0.21614321866824326,4442.090987659991,0.011,946546.4,25.0
24,25.0,0.9859805208346684,6.299568461698563,1200000.0,2.9444387740379e-06,0.2081356687756042,3879.8622367605567,0.011,970536.8,25.0
25,26.0,0.9197221640496098,5.905062946561621,1200000.0,2.808078393284544e-06,0.23461284821186013,3841.212984882295,0.011,832938.8,25.0
26,27.0,1.0342191173218314,5.444079905497368,1200000.0,2.671658807507329e-06,0.2455717455370916,5465.475769169629,0.011,856929.2,25.0
27,28.0,1.0282924430235834,6.082255017117845,1200000.0,2.725882050999872e-06,0.23190238202872138,5789.255633443594,0.011,932966.8,25.0
28,29.0,0.9373951694727797,6.609555614674576,1200000.0,3.105639827432435e-06,0.1967005943591218,3978.495554558933,0.011,1007467.6,25.0
29,30.0,0.9750406983477625,6.124477452857796,1200000.0,2.846058524631362e-06,0.22328472499562935,5497.341494441032,0.011,949504.4,25.0
30,31.0,1.013929363696027,5.9569795070185805,1200000.0,2.8117430080739755e-06,0.22253744203440817,5197.312725618482,0.011,941269.6,25.0
31,32.0,0.9578530698724775,6.342400122907122,1200000.0,2.887606697632008e-06,0.2131378278370164,5322.705127216876,0.011,1007467.6,25.0
32,33.0,1.0978523150095618,6.077949989732097,1200000.0,2.8220210211172075e-06,0.2161142068632671,4870.85152605921,0.011,986435.2,25.0
33,34.0,1.1878157124767799,6.5234761800371075,1200000.0,2.9593704722038957e-06,0.20092335142994244,4845.154381081462,0.011,1057196.0,25.0
34,35.0,1.0636133769443186,6.322405279601114,1200000.0,2.9195126065913196e-06,0.21077416182374265,5026.925150044262,0.011,999232.8,25.0
35,36.0,0.983246285983356,6.6422633665728625,1200000.0,3.230109038279885e-06,0.2015840956491175,4041.986916795373,0.011,946546.4,25.0
36,37.0,0.934428665175862,6.486153860999387,1200000.0,3.0496513223053656e-06,0.2190766777535771,4669.401443645358,0.011,890902.0,25.0
37,38.0,1.1904099787573672,5.999883938810022,1200000.0,2.7215357881054682e-06,0.2200968118323985,5573.279772691429,0.011,1004509.6,25.0
38,39.0,1.002436218628076,6.19536065302723,1200000.0,2.8587908671213837e-06,0.21286386849371297,5105.158053636551,0.011,1004509.6,25.0
39,40.0,0.9761195326333287,6.0261561074743,1200000.0,2.875582197746097e-06,0.22529454091289836,4237.116982422769,0.011,888583.2,25.0
40,41.0,0.8696748234455989,5.6634391209714465,1200000.0,2.7619661504595927e-06,0.24777578591107385,5473.1884550228715,0.011,822956.4,25.0
41,42.0,1.0978516200736808,6.420379457225913,1200000.0,2.9875348742194297e-06,0.205450855810561,4683.321426592767,0.011,999232.8,25.0
42,43.0,1.0267727313056412,6.394950391597639,1200000.0,3.0816129013027825e-06,0.1988082090117942,4164.343997366726,0.011,1012173.2,25.0
43,44.0,1.0936890728349484,5.646104028280988,1200000.0,2.750185221021862e-06,0.2340286407967156,4214.669638082385,0.011,856929.2,25.0
44,45.0,1.0181185350028539,6.353413376394492,1200000.0,3.1767437430718e-06,0.2184833164888076,5889.935451038182,0.011,909615.6,25.0
45,46.0,1.061516859726966,6.581085843154504,1200000.0,3.0592211511634075e-06,0.2038926587831682,5669.318083129823,0.011,1033205.6,25.0
46,47.0,0.99729465423919,6.182637046380243,1200000.0,2.892701061803701e-06,0.21237736442161292,5409.5102077797055,0.011,1007467.6,25.0
47,48.0,0.9708003902745888,6.829927742161068,1200000.0,3.055638427244715e-06,0.19957108161785442,5380.444294318557,0.011,1064859.6,25.0
48,49.0,0.9278909931735617,6.762998576665744,1200000.0,3.342015880743934e-06,0.18478437085997967,2276.919829837978,0.011,967578.8,25.0
49,50.0,1.0143192217711072,6.022722760725777,1200000.0,2.8154064089866974e-06,0.24827340921770968,7743.899761199951,0.011,864592.8,25.0
50,51.0,0.9666413281994511,5.6965147666613944,1200000.0,2.7562975243094483e-06,0.2477293437986603,8808.404840372503,0.011,917850.4,25.0
51,52.0,1.0257790187692237,6.824946413072219,1200000.0,3.2157979594856943e-06,0.1905644206754218,3343.333757147193,0.011,1006896.4,25.0
52,53.0,1.0060734351304663,6.12113972263063,1200000.0,2.8689510819418133e-06,0.22621550484755204,7549.828542731702,0.011,983477.2,25.0
53,54.0,1.0064255223595024,5.9609717672451765,1200000.0,2.8548902782783343e-06,0.2348133290936545,6216.0745949447155,0.011,888583.2,25.0
54,55.0,1.0495930134647906,6.023346477337853,1200000.0,2.8596902088687856e-06,0.2181356475966183,4273.953716762364,0.011,938882.8,25.0
55,56.0,0.9885451270168605,5.5384743579949784,1200000.0,2.803389611892716e-06,0.2369899092411174,5312.693478740752,0.011,856929.2,25.0
56,57.0,1.0046048243125187,5.34435184297385,1200000.0,2.42632840224931e-06,0.25013831009370335,4836.6450327932835,0.011,883877.6,25.0
57,58.0,0.9660564558261145,5.9923805944986555,1200000.0,2.962868109413134e-06,0.2317226802551957,6564.862075872719,0.011,880348.4,25.0
58,59.0,1.0965884674250368,6.1395830578319845,1200000.0,2.925372864091365e-06,0.2167799579815579,5297.694182276726,0.011,954781.2,25.0
59,60.0,1.0797000815938484,7.044580174831957,1200000.0,3.3093822932332145e-06,0.18500522139602538,4318.046522922814,0.011,1057196.0,25.0
60,61.0,1.0457601997856025,6.340392361029814,1200000.0,3.119747170520267e-06,0.21021979995449414,5362.565322563052,0.011,954781.2,25.0
61,62.0,0.9678845938478112,5.577601466952238,1200000.0,2.6411113072273416e-06,0.25001834649208377,5870.683910690248,0.011,853971.2,25.0
