Model,Adult AICc,Aged AICc
MA1,-49.063620837201235,66.103779697672
MA2,-48.02803851421292,31.82455203077142
MA3,11.868627709032321,61.00140280718127
MA4,-3.1830730101830245,31.703536753590694
MB1,14.388369526314081,19.91624653352466
MB2,16.614004520780448,3.1173952176818656
MB3,17.55896364142241,19.147758412936295
MB4,19.750070126300937,19.00758570375206
MC1,-52.86907938231761,18.281863522232385
MC2,-51.38725479038436,20.083339822823866
MC3,-4.641806603671997,23.77858274236194
MC4,-15.157707411492321,27.37078236091611
MD1,16.614003813979856,2.9129417118387586
MD2,18.874913590994943,5.2085789250758285
MD3,19.750085784070357,24.157518087335397
MD4,21.97573846252503,25.62189490937232
