,d_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,0.0001,11.4,128938.41698151619,30455759.065784737
1,0.00010974987654930556,11.4,128952.10891527316,30454002.922289077
2,0.00012045035402587823,11.4,128967.13764081801,30452075.38696454
3,0.00013219411484660288,11.4,128983.63455951068,30449961.075926457
4,0.000145082877849594,11.4,129001.74302007975,30447640.999131612
5,0.00015922827933410923,11.4,129021.62145508773,30445093.984841015
6,0.0001747528400007683,11.4,129043.44177315147,30442299.941291954
7,0.00019179102616724886,11.4,129067.39147045511,30439233.844074387
8,0.00021049041445120198,11.4,129093.6866698354,30435869.62131323
9,0.00023101297000831605,11.4,129122.55351251604,30432178.16859552
10,0.00025353644939701115,11.4,129154.24434862252,30428127.797509026
11,0.0002782559402207126,11.4,129189.03603617536,30423683.637248002
12,0.0003053855508833416,11.4,129227.23415584762,30418808.585014094
13,0.0003351602650938841,11.4,129269.17318151116,30413459.57591469
14,0.0003678379771828634,11.4,129315.22126439548,30407591.018307976
15,0.0004037017258596554,11.4,129365.78314711382,30401153.00887158
16,0.0004430621457583882,11.4,129421.3038798439,30394090.402440455
17,0.00048626015800653534,11.4,129482.27292430586,30386343.060207292
18,0.0005336699231206312,11.4,129549.2287244395,30377844.28039759
19,0.0005857020818056667,11.4,129622.7636121665,30368523.820961922
20,0.0006428073117284319,11.4,129703.52956024872,30358300.613414302
21,0.0007054802310718645,11.4,129792.24423591161,30347088.082957692
22,0.000774263682681127,11.4,129889.69788216337,30334792.677601114
23,0.0008497534359086447,11.4,129996.76094471272,30321310.64442774
24,0.0009326033468832199,11.4,130114.39253888106,30306527.60940745
25,0.001023531021899027,11.4,130243.64712888634,30290320.295432273
26,0.0011233240329780276,11.4,130385.69594032073,30272552.779909458
27,0.0012328467394420659,11.4,130541.82255121839,30253077.31378605
28,0.0013530477745798076,11.4,130713.44669337214,30231732.155041166
29,0.001484968262254465,11.4,130902.13632279709,30208341.36329419
30,0.0016297508346206436,11.4,131109.62411034532,30182712.23098245
31,0.001788649529057435,11.4,131337.82600674868,30154635.170601606
32,0.0019630406500402726,11.4,131588.86314610761,30123881.31848102
33,0.0021544346900318843,11.4,131865.07794263464,30090203.422999054
34,0.002364489412645407,11.4,132169.09153289153,30053329.488105133
35,0.002595024211399737,11.4,132503.76426905044,30012966.64763086
36,0.002848035868435802,11.4,132872.32460555254,29968795.274698455
37,0.0031257158496882354,11.4,133278.32084666603,29920469.490594853
38,0.003430469286314919,11.4,133725.73249454424,29867616.267094165
39,0.0037649358067924714,11.4,134218.9674230853,29809827.828367252
40,0.0041320124001153384,11.5,134763.99858264756,29378218.741476424
41,0.004534878508128582,11.5,135364.32476187957,29309986.959068358
42,0.004977023564332114,11.5,136027.1175163337,29235483.356094074
43,0.0054622772176843425,11.5,136759.31189135823,29154171.400347
44,0.005994842503189409,11.5,137568.67768899255,29065473.329075836
45,0.006579332246575682,11.5,138464.01535010114,28968776.310596
46,0.007220809018385471,11.5,139455.21451600388,28863426.543813154
47,0.007924828983539177,11.600000000000001,140554.51286103876,28383018.721980844
48,0.008697490026177835,11.600000000000001,141772.65052871034,28259708.424843017
49,0.009545484566618348,11.600000000000001,143125.083778411,28125695.576614175
50,0.010476157527896652,11.600000000000001,144628.3331774791,27980186.380337406
51,0.011497569953977368,11.700000000000001,146302.3588626592,27459081.837953113
52,0.012618568830660211,11.700000000000001,148167.00057405067,27290181.440932535
53,0.013848863713938732,11.700000000000001,150248.33637162193,27107449.124642484
54,0.015199110829529346,11.8,152576.51598071613,26549528.861542594
55,0.016681005372000592,11.8,155183.58569359776,26339284.486920945
56,0.018307382802953697,11.8,158110.17435183795,26112893.81664056
57,0.02009233002565048,11.9,161404.0993464486,25514150.393109813
58,0.022051307399030457,11.9,165118.56506339912,25256715.894316964
59,0.024201282647943835,12.0,169321.45626975267,24629543.2806688
60,0.026560877829466867,12.100000000000001,174090.48735903404,23988678.068890948
61,0.02915053062825179,12.200000000000001,179520.70315886827,23335008.077046044
62,0.03199267137797385,12.200000000000001,185726.5782362489,23017901.898552842
63,0.03511191734215135,12.3,192851.400814801,22340085.760629915
64,0.03853528593710531,12.4,201068.76788193907,21653282.10313324
65,0.04229242874389499,12.600000000000001,210597.19210380403,20620195.507160626
66,0.04641588833612782,12.700000000000001,221708.21924453852,19926585.451909307
67,0.0509413801481638,12.8,234750.61897098675,19232488.03492899
68,0.055908101825122285,13.0,250172.428546533,18214218.897156354
69,0.061359072734131756,13.200000000000001,268553.7220743953,17213574.738280956
70,0.06734150657750829,13.4,290659.495524808,16237463.602279708
71,0.07390722033525783,13.700000000000001,317510.8723744699,14979888.102824073
72,0.08111308307896872,14.0,350485.463115982,13774424.781789202
73,0.08902150854450393,14.3,391472.2536935988,12630769.247867841
74,0.09770099572992257,14.700000000000001,443095.6672129495,11264652.890615119
75,0.10722672220103242,15.200000000000001,509045.3979868747,9707736.26080678
76,0.1176811952434999,15.700000000000001,594566.2686131115,8265160.734432098
77,0.1291549665014884,16.3,707172.1014593341,6665939.2146759145
78,0.14174741629268062,17.1,857642.4519455764,4665011.539424873
79,0.15556761439304723,18.1,1061345.0294586476,2280954.5310478397
80,0.1707352647470692,19.0,1339864.7468978823,219720.26516098643
81,0.1873817422860385,19.0,1722936.8419203553,197141.99422873647
82,0.20565123083486536,19.0,2251275.703287814,167514.77063789108
83,0.22570197196339215,19.0,2980885.6958074234,140304.33030740335
84,0.24770763559917114,19.0,3978146.3315409264,116888.0544119726
85,0.2718588242732943,19.0,5257836.733651871,97156.81472958764
86,0.298364724028334,19.0,6683154.842747464,80754.99283117206
87,0.3274549162877732,19.0,8043273.319389933,67265.2734660186
88,0.3593813663804629,19.0,9219813.915965572,56257.93539002066
89,0.394420605943766,19.0,10194797.533196174,47318.82413672925
90,0.43287612810830617,19.0,10992418.99158304,40068.95102962599
91,0.4750810162102798,19.0,11645380.180483885,34176.745055568324
92,0.521400828799969,19.0,12183396.143224144,29363.303670993064
93,0.572236765935022,19.0,12630628.330007734,25401.746842670127
94,0.6280291441834259,19.0,13005941.123607509,22112.3933502274
95,0.6892612104349702,19.0,13323850.367561016,19355.635343729264
96,0.7564633275546291,19.0,13595493.776794229,17024.182272002567
97,0.8302175681319752,19.0,13829444.871604614,15035.815145960149
98,0.9111627561154896,19.0,14032348.581926256,13327.280664681795
99,1.0,19.0,14209402.18272058,11849.48597919558
