,beta,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,0.4,8.455667294991915,3707.689142350831
1,1.0974987654930568e-08,0.4,8.455883078653823,3710.705850015791
2,1.204503540258781e-08,0.4,8.456119905615795,3714.022095409967
3,1.3219411484660288e-08,0.4,8.45637982852666,3717.6683252271728
4,1.4508287784959402e-08,0.4,8.456665100360865,3721.6780060651017
5,1.592282793341094e-08,0.4,8.456978193989602,3726.0882797877543
6,1.747528400007683e-08,0.4,8.457321823669135,3730.9402371476995
7,1.9179102616724886e-08,0.4,8.4576989686327,3736.2791532342203
8,2.104904144512022e-08,0.4,8.458112898995639,3742.1557811926327
9,2.310129700083158e-08,0.4,8.458567204199678,3748.62585424128
10,2.5353644939701113e-08,0.4,8.459065824248073,3755.751653004917
11,2.782559402207126e-08,0.4,8.459613084006731,3763.60240770845
12,3.053855508833412e-08,0.4,8.46021373087457,3772.255147421431
13,3.351602650938841e-08,0.4,8.460872976156859,3781.795815660095
14,3.678379771828634e-08,0.4,8.46159654050807,3792.3204384995847
15,4.037017258596558e-08,0.4,8.4623907038496,3803.9364403391623
16,4.4306214575838774e-08,0.4,8.463262360206743,3816.76425125343
17,4.8626015800653535e-08,0.4,8.464219077954791,3830.939122998843
18,5.3366992312063125e-08,0.4,8.465269166016322,3846.6133318141
19,5.857020818056673e-08,0.4,8.466421746603599,3863.9586679642907
20,6.42807311728432e-08,0.4,8.467686835164395,3883.1694707785737
21,7.054802310718646e-08,0.4,8.469075404357435,3904.4662053814027
22,7.742636826811277e-08,0.4,8.470599565942004,3928.0997423507956
23,8.497534359086438e-08,0.4,8.472272564707264,3954.356489977518
24,9.3260334688322e-08,0.4,8.474108999195247,3983.5646422793166
25,1.0235310218990269e-07,0.4,8.476124782034944,4016.1017889624927
26,1.1233240329780266e-07,0.4,8.478337506174324,4052.404172420117
27,1.232846739442066e-07,0.4,8.480766456751498,4092.9782253948265
28,1.3530477745798075e-07,0.4,8.483432816382606,4138.4148767746165
29,1.4849682622544636e-07,0.4,8.486359852882591,4189.407516769598
30,1.6297508346206436e-07,0.4,8.489573127621279,4246.77474790416
31,1.7886495290574352e-07,0.4,8.493100710813858,4311.489445019664
32,1.9630406500402725e-07,0.4,8.49697348565359,4384.716271864016
33,2.1544346900318867e-07,0.4,8.501225348969673,4467.860622284628
34,2.3644894126454072e-07,0.4,8.50589356602477,4562.633196390555
35,2.5950242113997374e-07,0.4,8.511019096685065,4671.136276977485
36,2.848035868435805e-07,0.4,8.516646973375645,4795.9805590648575
37,3.125715849688235e-07,0.4,8.522826660659693,4940.44561542842
38,3.4304692863149193e-07,0.4,8.529612714330606,5108.703806132833
39,3.764935806792471e-07,0.4,8.537064972852724,5306.138061675418
40,4.1320124001153343e-07,0.4,8.545249328762166,5539.801287347506
41,4.534878508128582e-07,0.4,8.55423829113538,5819.093812333406
42,4.977023564332114e-07,0.4,8.564111669736302,6156.784557588206
43,5.462277217684337e-07,0.4,8.574957336212226,6570.586686490106
44,5.994842503189409e-07,0.4,8.586872067737987,7085.6525948883855
45,6.579332246575682e-07,0.4,8.599962484896627,7738.635253692807
46,7.220809018385472e-07,0.4,8.614346095482242,8584.501830107585
47,7.924828983539186e-07,0.4,8.63015245750023,9708.341183581753
48,8.697490026177835e-07,0.4,8.647524475451549,11246.55539254252
49,9.545484566618346e-07,0.4,8.666619851379798,13426.34106231089
50,1.0476157527896663e-06,0.4,8.687612706702511,16642.234050848525
51,1.1497569953977357e-06,0.5,9.711088876286684,21585.90633115187
52,1.261856883066021e-06,19.0,22.048371327965178,275.95997418382905
53,1.3848863713938746e-06,19.0,192.88889187749535,513.6816689095576
54,1.519911082952933e-06,19.0,419.81059685138615,1030.7745279025519
55,1.6681005372000591e-06,19.0,877.0618788273633,2221.710801406845
56,1.8307382802953698e-06,19.0,1921.3052938449462,5103.625802922889
57,2.0092330025650458e-06,19.0,4428.262071725584,12277.807453685755
58,2.2051307399030456e-06,19.0,10436.466707269783,29760.430109627185
59,2.4201282647943835e-06,19.0,23474.68199437425,67998.98685909071
60,2.656087782946684e-06,19.0,45664.61891499115,136266.49824899388
61,2.9150530628251817e-06,19.0,72124.96678559987,227921.6335667932
62,3.1992671377973847e-06,19.0,96044.28663916385,309918.38441513485
63,3.5111917342151347e-06,19.0,117660.95994367918,351800.6097826261
64,3.853528593710536e-06,19.0,139930.39825892414,360279.7151293002
65,4.229242874389499e-06,19.0,164194.0741246513,352402.42058368743
66,4.641588833612782e-06,19.0,190382.48942272674,336541.52487667766
67,5.094138014816386e-06,18.6,217748.94037038673,1610528.174209668
68,5.590810182512223e-06,17.400000000000002,245315.11004929585,5378711.515167475
69,6.1359072734131755e-06,16.3,272145.0230916685,8590763.608613517
70,6.7341506577508285e-06,15.4,297505.0200696363,10852237.350863334
71,7.390722033525775e-06,14.5,320930.886795091,12886374.033042675
72,8.111308307896873e-06,13.8,342216.1333450297,14067112.810710596
73,8.902150854450392e-06,13.200000000000001,361348.26269545953,14824472.220243605
74,9.770099572992246e-06,12.600000000000001,378446.77660794754,15552987.69687095
75,1.0722672220103253e-05,12.100000000000001,393707.830257317,15977839.744820748
76,1.1768119524349992e-05,11.700000000000001,407357.6764790376,16146743.38608508
77,1.2915496650148827e-05,11.3,419622.1735684294,16389962.42706823
78,1.4174741629268077e-05,11.0,430710.7033421401,16418726.81849237
79,1.5556761439304724e-05,10.8,440802.9925464331,16246693.117728606
80,1.7073526474706923e-05,10.600000000000001,450045.7807106785,16158111.932428338
81,1.8738174228603867e-05,10.4,458556.41746170446,16139522.838867191
82,2.0565123083486515e-05,10.200000000000001,466426.22079539107,16179043.12472158
83,2.2570197196339216e-05,10.100000000000001,473727.14388426376,16001362.235939996
84,2.477076355991714e-05,9.9,480513.3417443478,16130927.343267668
85,2.71858824273294e-05,9.8,486832.44174655504,16033580.898918066
86,2.9836472402833404e-05,9.700000000000001,492721.9416510596,15968455.6065354
87,3.274549162877732e-05,9.600000000000001,498215.27341508796,15930747.24778603
88,3.5938136638046256e-05,9.5,503342.1021739759,15916715.631124297
89,3.944206059437664e-05,9.4,508129.1321033821,15923391.891328763
90,4.328761281083062e-05,9.3,512600.61615562404,15948373.504965745
91,4.750810162102793e-05,9.200000000000001,516778.7071381596,15989685.306466648
92,5.214008287999695e-05,9.200000000000001,520684.7539917108,15798654.112905756
93,5.72236765935022e-05,9.1,524335.4583297735,15868360.209860416
94,6.28029144183426e-05,9.0,527749.0335305039,15949984.91086005
95,6.89261210434971e-05,9.0,530942.4651413743,15798463.964645384
96,7.56463327554629e-05,8.9,533928.4752684168,15900954.484022584
97,8.302175681319752e-05,8.9,536722.7553889515,15770414.345632415
98,9.111627561154906e-05,8.8,539335.9996846572,15890220.342305705
99,0.0001,8.8,541782.0160053199,15776981.121954205
