,p,Viral Clearance Time,Total Viral Load,Excess CTL
0,0.01,0.8,15.238540751811263,1591550.047584868
1,0.010974987654930561,0.8,15.24341808336857,1592842.0432937704
2,0.012045035402587823,0.8,15.248773794716278,1594262.1723244935
3,0.013219411484660288,0.8,15.254655111522661,1595823.3772544025
4,0.014508287784959394,0.8,15.261113984094392,1597539.957658383
5,0.015922827933410922,0.8,15.268207572827244,1599427.7173348395
6,0.01747528400007684,0.8,15.275998786146488,1601504.1384040827
7,0.019179102616724886,0.8,15.284556877127567,1603788.5746720822
8,0.02104904144512021,0.8,15.293958105795253,1606302.4688272397
9,0.023101297000831605,0.8,15.304286473653393,1609069.599267086
10,0.025353644939701114,0.8,15.31563454845304,1612116.3604337296
11,0.027825594022071243,0.8,15.32810436713663,1615472.082068182
12,0.030538555088334154,0.8,15.341808459037399,1619169.3938271585
13,0.033516026509388425,0.8,15.356870980264645,1623244.6429691524
14,0.03678379771828634,0.8,15.373428984227608,1627738.3743759429
15,0.040370172585965536,0.8,15.391633844966703,1632695.8840672001
16,0.044306214575838825,0.8,15.411652854443735,1638167.859775273
17,0.04862601580065353,0.8,15.433671018355387,1644211.1250418297
18,0.0533669923120631,0.8,15.457893079115943,1650889.506946549
19,0.05857020818056667,0.8,15.484545799575796,1658274.8523424086
20,0.06428073117284322,0.8,15.513880546802271,1666448.2239525018
21,0.07054802310718646,0.8,15.546176222378634,1675501.3126481841
22,0.0774263682681127,0.8,15.581742594061883,1685538.1144958825
23,0.08497534359086446,0.9,16.622335648820542,1692249.8307985622
24,0.093260334688322,0.9,16.672963746832625,1704619.9974432287
25,0.10235310218990264,0.9,16.72880778125719,1718381.2568336215
26,0.11233240329780277,0.9,16.790435621210204,1733711.272623386
27,0.12328467394420665,0.9,16.85848318044986,1750815.1853830253
28,0.13530477745798075,0.9,16.933664163134672,1769930.7403189784
29,0.1484968262254465,0.9,17.016781552924606,1791334.847714169
30,0.16297508346206444,0.9,17.108738227886068,1815352.3385056658
31,0.1788649529057435,0.9,17.210555598447783,1842363.6988083308
32,0.19630406500402714,1.0,18.327997074498352,1867823.2000918377
33,0.21544346900318845,1.0,18.472423109928155,1902251.2612622727
34,0.23644894126454083,1.0,18.632977499802845,1941310.4849745957
35,0.25950242113997374,1.0,18.81168923786141,1985782.9844898002
36,0.2848035868435802,1.1,20.014511498771604,2031047.1993600042
37,0.3125715849688237,1.1,20.267733796484237,2089392.3809251916
38,0.34304692863149194,1.1,20.55136783511535,2156723.403246889
39,0.37649358067924693,1.2000000000000002,21.892538286984767,2228678.1006470593
40,0.41320124001153385,1.2000000000000002,22.29620745278286,2319856.9020289863
41,0.4534878508128584,1.3,23.792510627050756,2420263.1409118846
42,0.49770235643321115,1.4000000000000001,25.395228325006283,2539804.1110572554
43,0.5462277217684343,1.5,27.148804662685755,2683326.508752091
44,0.5994842503189411,1.6,29.108808454748047,2857178.872844129
45,0.6579332246575682,1.8,32.35581168390221,3059918.4974637255
46,0.7220809018385468,2.0,36.032781463259866,3310366.047334548
47,0.7924828983539177,2.2,40.35934822620499,3622737.1987511995
48,0.8697490026177834,2.6,47.70247734223762,3985666.5239554313
49,0.9545484566618342,3.0,56.72819410494899,4442372.389020334
50,1.0476157527896652,3.5,69.56851564919535,4995923.364929387
51,1.149756995397737,4.2,89.24071505293855,5630373.403324405
52,1.261856883066021,4.9,117.16792487475215,6397972.535921322
53,1.384886371393873,5.6000000000000005,159.30860256260732,7306162.114170917
54,1.5199110829529348,6.300000000000001,226.71586827956577,8350556.855104235
55,1.6681005372000592,6.9,341.19197393233213,9591539.763822917
56,1.8307382802953698,7.5,556.4451573108837,10970144.344803287
57,2.0092330025650478,8.0,1007.6673430464766,12588807.00150964
58,2.2051307399030455,8.6,2095.1994131571832,14231698.860370902
59,2.4201282647943834,9.3,5163.908283959041,15808986.837627985
60,2.656087782946687,9.9,15542.29295817365,17590030.233807433
61,2.9150530628251787,10.600000000000001,57477.053430561085,19104912.854019232
62,3.1992671377973845,11.200000000000001,231857.69166970204,20457082.090627242
63,3.5111917342151346,11.700000000000001,702466.5381396237,21212885.55344192
64,3.8535285937105312,12.0,1366284.672285391,21979760.725466188
65,4.229242874389499,12.4,2062916.64118499,22290198.06093025
66,4.641588833612782,12.700000000000001,2757521.1461046464,22906863.03902628
67,5.09413801481638,13.100000000000001,3447558.992657565,23114247.377702847
68,5.590810182512229,13.4,4133534.7064019553,23669222.09412066
69,6.135907273413176,13.8,4816047.068440694,23733659.3028953
70,6.7341506577508286,14.200000000000001,5495622.820321335,23683899.923631687
71,7.390722033525782,14.600000000000001,6172724.721355019,23497053.490729824
72,8.111308307896872,15.0,6847755.61845085,23146678.331952486
73,8.902150854450392,15.4,7521067.374252451,22602284.608851172
74,9.770099572992256,15.8,8192965.623511294,21828760.655790597
75,10.722672220103243,16.2,8863715.013731219,20785713.69070345
76,11.768119524349991,16.6,9533544.589989938,19426707.44525974
77,12.91549665014884,17.1,10202653.37639378,16861707.02705219
78,14.174741629268063,17.5,10871208.704863051,14638478.576470772
79,15.556761439304722,17.900000000000002,11539356.77675378,11909913.865455851
80,17.07352647470692,18.400000000000002,12207227.013613043,7539098.423311507
81,18.73817422860385,18.8,12874906.669012867,3475957.971755393
82,20.565123083486537,19.0,13542501.09962447,1203202.9041592195
83,22.570197196339215,19.0,14209771.283278067,1206640.2954233338
84,24.770763559917114,19.0,14873867.444449851,1207251.5462171899
85,27.185882427329428,19.0,15523370.320650196,1207625.9888719104
86,29.836472402833405,19.0,16143099.384630831,1207939.799432174
