,d_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,0.0001,8.3,847348.4500012501,36343453.791090734
1,0.00010974987654930556,8.3,847370.180534649,36340784.79794804
2,0.00012045035402587823,8.3,847394.0300666725,36337855.884689294
3,0.00013219411484660288,8.3,847420.2052905437,36334641.30905741
4,0.000145082877849594,8.3,847448.9327144894,36331113.21265184
5,0.00015922827933410923,8.3,847480.4630047296,36327242.57874761
6,0.0001747528400007683,8.3,847515.0729446412,36322994.56353369
7,0.00019179102616724886,8.3,847553.0323141402,36318334.205275774
8,0.00021049041445120198,8.3,847594.7211562097,36313219.614952564
9,0.00023101297000831605,8.3,847640.4741612007,36307607.872053064
10,0.00025353644939701115,8.3,847690.6922775496,36301450.22509502
11,0.0002782559402207126,8.3,847745.8024054978,36294693.714503944
12,0.0003053855508833416,8.3,847806.2997924233,36287280.50590908
13,0.0003351602650938841,8.3,847872.702238505,36279147.09488421
14,0.0003678379771828634,8.3,847945.6028553878,36270224.36366013
15,0.0004037017258596554,8.3,848025.5780589923,36260433.993169814
16,0.0004430621457583882,8.3,848113.382376411,36249694.54625321
17,0.00048626015800653534,8.3,848209.7590884914,36237912.99552998
18,0.0005336699231206312,8.3,848315.5305310668,36224988.34450031
19,0.0005857020818056667,8.3,848431.6502472137,36210811.082716666
20,0.0006428073117284319,8.3,848559.107577382,36195261.19464368
21,0.0007054802310718645,8.3,848699.0142009545,36178205.647257455
22,0.000774263682681127,8.3,848852.6111389142,36159500.67237795
23,0.0008497534359086447,8.3,849021.1724784691,36138987.25185892
24,0.0009326033468832199,8.3,849206.2454992847,36116493.26903819
25,0.001023531021899027,8.3,849409.4067008005,36091829.241449535
26,0.0011233240329780276,8.3,849632.4330263266,36064787.369198084
27,0.0012328467394420659,8.3,849877.2929166555,36035142.51869917
28,0.0013530477745798076,8.3,850146.0807433631,36002646.23738113
29,0.001484968262254465,8.3,850441.1981389879,35967030.21541727
30,0.0016297508346206436,8.3,850765.2174197999,35927999.51891249
31,0.001788649529057435,8.3,851120.9830664818,35885231.83244495
32,0.0019630406500402726,8.3,851511.6350141735,35838378.39428524
33,0.0021544346900318843,8.3,851940.587652889,35787056.378716014
34,0.002364489412645407,8.3,852411.632588832,35730850.73779386
35,0.002595024211399737,8.3,852928.9292879418,35669309.77197223
36,0.002848035868435802,8.4,853498.0666672147,35267396.860593066
37,0.0031257158496882354,8.4,854122.0740565911,35193870.99330882
38,0.003430469286314919,8.4,854807.4935047089,35113426.4183481
39,0.0037649358067924714,8.4,855560.4286161257,35025438.6683647
40,0.0041320124001153384,8.4,856387.611032194,34929232.33993738
41,0.004534878508128582,8.4,857296.443212755,34824078.169026546
42,0.004977023564332114,8.4,858295.0963761569,34709189.66050059
43,0.0054622772176843425,8.4,859392.5781898829,34583720.23865523
44,0.005994842503189409,8.4,860598.8282819422,34446761.71441459
45,0.006579332246575682,8.4,861924.8128186704,34297340.63923545
46,0.007220809018385471,8.4,863382.6490212819,34134417.999370426
47,0.007924828983539177,8.4,864985.7259884018,33956885.577829726
48,0.008697490026177835,8.4,866748.8491628005,33763567.92005271
49,0.009545484566618348,8.4,868688.4037347044,33553222.474192437
50,0.010476157527896652,8.4,870822.5363943973,33324541.00373474
51,0.011497569953977368,8.5,873172.3762852116,32747967.288077652
52,0.012618568830660211,8.5,875758.2494378744,32479233.72910894
53,0.013848863713938732,8.5,878605.9626457012,32187962.537756328
54,0.015199110829529346,8.5,881743.0424976813,31872646.004657898
55,0.016681005372000592,8.5,885200.1893708307,31531754.682338793
56,0.018307382802953697,8.5,889011.616551127,31163751.99619604
57,0.02009233002565048,8.6,893216.5631524503,30445337.877307948
58,0.022051307399030457,8.6,897855.7960004547,30019923.524498016
59,0.024201282647943835,8.6,902978.105992006,29563110.133329265
60,0.026560877829466867,8.6,908637.2574180817,29073620.39597212
61,0.02915053062825179,8.700000000000001,914894.7388261335,28235327.68627529
62,0.03199267137797385,8.700000000000001,921816.7182613553,27679193.439519852
63,0.03511191734215135,8.8,929482.1519193503,26777668.264139846
64,0.03853528593710531,8.8,937976.5978280674,26153048.842462026
65,0.04229242874389499,8.9,947401.1807158198,25188723.4441004
66,0.04641588833612782,8.9,957867.4019112529,24496892.72040008
67,0.0509413801481638,9.0,969506.9177398559,23473989.97811394
68,0.055908101825122285,9.1,982467.9830282606,22427167.726583548
69,0.061359072734131756,9.1,996921.9965149828,21648442.609568473
70,0.06734150657750829,9.200000000000001,1013071.012599012,20559671.73415552
71,0.07390722033525783,9.3,1031147.489583001,19459478.31995048
72,0.08111308307896872,9.5,1051426.736444104,18082030.067540813
73,0.08902150854450393,9.600000000000001,1074230.9321332185,16984795.27222893
74,0.09770099572992257,9.8,1099948.483120104,15641256.485630156
75,0.10722672220103242,10.0,1129042.8496138696,14334350.898167588
76,0.1176811952434999,19.0,1162091.9442583018,84019.89278803118
77,0.1291549665014884,19.0,1199914.1012036523,76925.15126100296
78,0.14174741629268062,19.0,1244111.544354075,79342.35828526004
79,0.15556761439304723,19.0,1298303.7333553806,97113.18188291485
80,0.1707352647470692,19.0,1365908.967662506,120296.05793427132
81,0.1873817422860385,19.0,1445336.2596637849,139927.37118902942
82,0.20565123083486536,19.0,1534500.3262409316,152710.21399236066
83,0.22570197196339215,19.0,1635546.2503042296,158174.0068740025
84,0.24770763559917114,19.0,1753696.7926523907,157268.5519471676
85,0.2718588242732943,19.0,1896269.2989334797,151444.69937015823
86,0.298364724028334,19.0,2074570.8947236885,142404.87060885408
