,d_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,0.0001,9.700000000000001,455766.08127067843,42223724.206938475
1,0.00010974987654930556,9.700000000000001,455767.75283339416,42219598.79373044
2,0.00012045035402587823,9.700000000000001,455769.5873748484,42215071.671449415
3,0.00013219411484660288,9.700000000000001,455771.60078603524,42210103.7789351
4,0.000145082877849594,9.700000000000001,455773.8105072975,42204652.26800365
5,0.00015922827933410923,9.700000000000001,455776.23567976616,42198670.13871114
6,0.0001747528400007683,9.700000000000001,455778.8973107888,42192105.83968147
7,0.00019179102616724886,9.700000000000001,455781.81845634035,42184902.830832355
8,0.00021049041445120198,9.700000000000001,455785.0244206457,42176999.104561016
9,0.00023101297000831605,9.700000000000001,455788.5429751429,42168326.661754146
10,0.00025353644939701115,9.700000000000001,455792.40459976194,42158810.93890785
11,0.0002782559402207126,9.700000000000001,455796.6427465214,42148370.18123119
12,0.0003053855508833416,9.700000000000001,455801.2941296159,42136914.75758824
13,0.0003351602650938841,9.700000000000001,455806.39904376183,42124346.411905505
14,0.0003678379771828634,9.700000000000001,455812.00171293336,42110557.445266545
15,0.0004037017258596554,9.700000000000001,455818.1506744564,42095429.82343649
16,0.0004430621457583882,9.700000000000001,455824.8991989516,42078834.20247132
17,0.00048626015800653534,9.700000000000001,455832.30575274,42060628.86663915
18,0.0005336699231206312,9.700000000000001,455840.43450445676,42040658.57065306
19,0.0005857020818056667,9.700000000000001,455849.3558813388,42018753.278944016
20,0.0006428073117284319,9.700000000000001,455859.1471802214,41994726.79394066
21,0.0007054802310718645,9.700000000000001,455869.89323739737,41968375.26454183
22,0.000774263682681127,9.700000000000001,455881.68716512766,41939475.5666063
23,0.0008497534359086447,9.700000000000001,455894.6311585422,41907783.545470715
24,0.0009326033468832199,9.700000000000001,455908.8373831734,41873032.11224517
25,0.001023531021899027,9.700000000000001,455924.42894722486,41834929.18326306
26,0.0011233240329780276,9.700000000000001,455941.54097077134,41793155.45453266
27,0.0012328467394420659,9.700000000000001,455960.32175830845,41747362.0010876
28,0.0013530477745798076,9.700000000000001,455980.93408655206,41697167.69309609
29,0.001484968262254465,9.700000000000001,456003.5566177708,41642156.42050657
30,0.0016297508346206436,9.700000000000001,456028.3854514395,41581874.11960807
31,0.001788649529057435,9.700000000000001,456055.63582929946,41515825.59689106
32,0.0019630406500402726,9.700000000000001,456085.5440047415,41443471.14586185
33,0.0021544346900318843,9.700000000000001,456118.3692976691,41364222.95842947
34,0.002364489412645407,9.700000000000001,456154.39634952,41277441.33328347
35,0.002595024211399737,9.700000000000001,456193.9376004782,41182430.69063951
36,0.002848035868435802,9.700000000000001,456237.3360083226,41078435.40678587
37,0.0031257158496882354,9.700000000000001,456284.9680363188,40964635.491428204
38,0.003430469286314919,9.700000000000001,456337.2469326669,40840142.13709237
39,0.0037649358067924714,9.700000000000001,456394.62633392814,40703993.18748565
40,0.0041320124001153384,9.700000000000001,456457.60422418657,40555148.579340845
41,0.004534878508128582,9.700000000000001,456526.72727555974,40392485.78791407
42,0.004977023564332114,9.700000000000001,456602.59563501953,40214795.49602483
43,0.0054622772176843425,9.700000000000001,456685.8681643265,40020777.41457704
44,0.005994842503189409,9.700000000000001,456777.2682089448,39809036.54648761
45,0.006579332246575682,9.700000000000001,456877.5899346083,39578079.99212064
46,0.007220809018385471,9.700000000000001,456987.7052901998,39326314.50993342
47,0.007924828983539177,9.700000000000001,457108.5716682885,39052045.166570716
48,0.008697490026177835,9.700000000000001,457241.2403192743,38753475.182734214
49,0.009545484566618348,9.700000000000001,457386.865606176,38428707.50159029
50,0.010476157527896652,9.700000000000001,457546.71518236335,38075748.39623184
51,0.011497569953977368,9.700000000000001,457722.18118760217,37692513.586705014
52,0.012618568830660211,9.700000000000001,457914.7925674095,37276837.40990935
53,0.013848863713938732,9.700000000000001,458126.22862774716,36826485.62135849
54,0.015199110829529346,9.700000000000001,458358.33394997986,36339172.311803505
55,0.016681005372000592,9.700000000000001,458613.13482253585,35812582.23814838
56,0.018307382802953697,9.700000000000001,458892.857326116,35244398.07266278
57,0.02009233002565048,9.8,459200.9502266395,34228531.7717043
58,0.022051307399030457,9.8,459538.110418048,33574550.63698813
59,0.024201282647943835,9.8,459908.28079663194,32872742.07172477
60,0.026560877829466867,9.8,460314.7075683663,32121222.324144643
61,0.02915053062825179,9.8,460760.9589874965,31318355.57924944
62,0.03199267137797385,9.8,461250.9578417555,30462829.33372933
63,0.03511191734215135,9.8,461789.0173252337,29553738.92941067
64,0.03853528593710531,9.8,462379.880627409,28590679.708375774
65,0.04229242874389499,9.8,463028.76467636,27573846.050824888
66,0.04641588833612782,9.9,463742.41509439825,26154131.098595455
67,0.0509413801481638,9.9,464525.17467073863,25041543.167936966
68,0.055908101825122285,9.9,465384.9644980351,23880948.86440318
69,0.061359072734131756,9.9,466329.434909245,22675976.2017888
70,0.06734150657750829,9.9,467367.00858091324,21431330.8130715
71,0.07390722033525783,10.0,468508.01974497084,19852155.534843925
72,0.08111308307896872,10.0,469760.6459773246,18558082.604241293
73,0.08902150854450393,10.100000000000001,471138.14823921316,16970637.74794687
74,0.09770099572992257,10.100000000000001,472651.00575762603,15661880.538554974
75,0.10722672220103242,10.200000000000001,474314.8408009989,14107538.13658374
76,0.1176811952434999,10.200000000000001,476142.81193828,12826375.861121768
77,0.1291549665014884,10.3,478153.5483024519,11352205.456441881
78,0.14174741629268062,10.4,480364.4161182499,9944817.404641688
79,0.15556761439304723,10.5,482795.68580116396,8616114.575053312
