,p,Viral Clearance Time,Total Viral Load,Excess CTL
2,0.012045035402587823,0.4,8.60710196866406,12160.928583098605
3,0.013219411484660286,0.4,8.608710856320211,12167.767855271119
4,0.014508287784959394,0.4,8.610477213254002,12175.282651924843
5,0.015922827933410922,0.4,8.612416516491376,12183.540747014826
6,0.01747528400007684,0.4,8.61454577749714,12192.616807504002
7,0.019179102616724886,0.4,8.616883697016082,12202.592999025357
8,0.02104904144512021,0.4,8.619450836091671,12213.560578890005
9,0.023101297000831605,0.4,8.622269805064123,12225.620230724784
10,0.025353644939701114,0.4,8.625365472571051,12238.882928323002
11,0.027825594022071243,0.4,8.628765196830262,12253.471645285634
12,0.030538555088334158,0.4,8.63249908177332,12269.522348556995
13,0.033516026509388425,0.4,8.6366002609328,12287.186023266451
14,0.03678379771828634,0.4,8.64110521237376,12306.630441777572
15,0.040370172585965536,0.4,8.646054108399325,12328.040821852584
16,0.044306214575838825,0.4,8.65149120426683,12351.624174695493
17,0.04862601580065353,0.4,8.65746527078403,12377.609892152072
18,0.05336699231206309,0.4,8.664030076312084,12406.254449008775
19,0.05857020818056667,0.4,8.671244924497211,12437.843833310191
20,0.06428073117284322,0.4,8.679175255059986,12472.697217230474
21,0.07054802310718646,0.4,8.687893316045495,12511.172718484437
22,0.0774263682681127,0.4,8.69747891727048,12553.671423067224
23,0.08497534359086446,0.4,8.708020276249291,12600.645049724691
24,0.093260334688322,0.4,8.719614969735005,12652.601398631386
25,0.10235310218990264,0.4,8.732371006206883,12710.115288492925
26,0.11233240329780277,0.4,8.74640803725474,12773.837335751718
27,0.12328467394420665,0.4,8.761858728918767,12844.505548615794
28,0.13530477745798075,0.4,8.778870317994397,12922.960114376225
29,0.1484968262254465,0.4,8.797606382672495,13010.165695631615
30,0.16297508346206444,0.4,8.818248862395556,13107.227252357816
31,0.17886495290574353,0.4,8.841000368743321,13215.420803784555
32,0.19630406500402714,0.4,8.86608683721196,13336.220813473727
33,0.21544346900318845,0.4,8.893760579826544,13471.347208702045
34,0.23644894126454083,0.4,8.924303810892603,13622.809784054736
35,0.25950242113997374,0.4,8.958032733463666,13792.976547690332
36,0.28480358684358015,0.5,10.007815778209498,13912.15239151869
37,0.31257158496882365,0.5,10.063178598589568,14128.393946402472
38,0.3430469286314919,0.5,10.124539073422039,14373.46643072302
39,0.37649358067924693,0.5,10.192613271718416,14652.311910415416
40,0.41320124001153385,0.5,10.268216865009006,14970.972151685603
41,0.4534878508128584,0.5,10.352281951303635,15336.815540169984
42,0.49770235643321115,0.5,10.445877321952041,15759.30570142886
43,0.5462277217684343,0.5,10.550233038147853,16250.298182684734
44,0.5994842503189411,0.6000000000000001,11.68732165620635,16735.90280482973
45,0.6579332246575682,0.6000000000000001,11.854106169431654,17413.9099555626
46,0.7220809018385468,0.6000000000000001,12.041691862024884,18223.294024826962
47,0.7924828983539177,0.7000000000000001,13.259191284847395,19096.39846741077
48,0.8697490026177834,0.7000000000000001,13.554222284118353,20294.511264490135
49,0.9545484566618342,0.8,14.895779413625322,21670.721210852513
50,1.047615752789665,0.8,15.357909035325282,23582.464668332785
51,1.1497569953977367,0.9,16.96102472867818,25960.21924070121
52,1.261856883066021,1.1,19.78383335928953,29076.13509231874
53,1.384886371393873,1.2000000000000002,22.001495767555046,33840.03896678283
54,1.5199110829529348,1.5,26.93195617629493,40873.86938387416
55,1.668100537200059,2.1,36.452321162664276,52539.078908277246
56,1.8307382802953698,3.4000000000000004,57.75278074470423,75159.8967956666
57,2.0092330025650478,9.3,156.92174495482934,103586.4962323304
58,2.2051307399030455,19.0,972.033624412249,5883.666796790552
59,2.4201282647943834,19.0,3594.1967079865217,22918.215686628304
60,2.6560877829466865,19.0,6589.597887795431,35156.283232354435
61,2.9150530628251787,19.0,10398.706590063282,43044.008489506356
62,3.1992671377973845,14.0,17039.249754993085,3234218.6259534275
63,3.511191734215134,11.700000000000001,30666.34430996506,6302986.542078725
64,3.8535285937105317,10.5,61943.02929395693,9384709.285184588
65,4.229242874389499,9.9,138366.71482631742,12361826.775148587
66,4.641588833612782,9.600000000000001,308682.16601705283,15047350.18226334
67,5.09413801481638,9.5,592356.0504657787,17160401.054429714
68,5.590810182512228,9.5,943025.2679988861,18963072.640697762
69,6.135907273413176,9.600000000000001,1319110.2621095856,20612546.83740827
70,6.734150657750828,9.700000000000001,1707711.7901389683,22456320.122897655
71,7.390722033525782,9.9,2106416.9702684223,24155573.88624611
72,8.111308307896872,10.100000000000001,2514635.9243018334,26026574.61081925
73,8.902150854450392,10.3,2931971.217411543,28078957.04462542
74,9.770099572992256,10.600000000000001,3358042.441682219,29843379.348892048
75,10.722672220103242,19.0,3792475.519148509,278280.29677566467
76,11.768119524349991,19.0,4234907.935188526,311577.06343682494
77,12.91549665014884,19.0,4684986.942479449,350222.2525059235
78,14.174741629268063,19.0,5142381.892107642,396152.4885864997
79,15.556761439304724,19.0,5606790.131881318,451718.9207535763
80,17.07352647470692,19.0,6077910.280116151,518243.978560624
81,18.738174228603846,19.0,6555398.67949055,595034.497603678
82,20.565123083486533,19.0,7038856.07283972,680310.5001523197
83,22.570197196339212,19.0,7527719.039851812,772452.1935052644
84,24.770763559917114,19.0,8021800.046769584,870407.3724436313
85,27.185882427329428,19.0,8520114.806740016,973676.4495894831
86,29.8364724028334,19.0,9023651.307034288,1082335.187297539
87,32.745491628777316,19.0,9530615.844027743,1197306.1946872913
88,35.938136638046295,19.0,10041011.106269553,1321067.0874230536
89,39.4420605943766,19.0,10558932.366240617,1458814.2920910055
90,43.287612810830616,19.0,11078611.885110565,1618799.1290510008
91,47.50810162102798,19.0,11596762.132622624,1809042.2280832743
92,52.140082879996896,19.0,12121499.553594764,2033168.8040948268
93,57.2236765935022,19.0,12657792.406550298,2292121.3085180093
94,62.802914418342596,19.0,13196807.067930209,2587734.76807926
95,68.92612104349702,17.900000000000002,13728994.807987012,36612873.42906906
96,75.6463327554629,18.3,14256835.14468392,27161239.4915881
97,83.02175681319753,18.7,14786484.62396827,15117755.743975248
98,91.11627561154897,19.0,15322792.60421256,4224259.480150803
99,100.0,19.0,15870274.484897882,4762347.914999
