,ST,ST_conf
p,0.33676162869449877,0.0034234146969766366
c_V,0.39414116858366804,0.0035218793850581424
r,0.25412012724117916,0.0025743358033543367
k_T,0.206891808051658,0.002346245106916493
d_T,0.10956309646208337,0.0012818242052132925
