,S1,S1_conf
beta,0.005717049593141258,0.011957351173803026
d_I,0.2045217822715186,0.08057779043259335
c,0.38643090091615584,0.0922354079063663
d_T,0.002873569686589007,0.0065747105715186485
r,8.606408015749179e-05,0.00016217280348653005
c_T,0.0016996105962721096,0.007176778717441986
K,0.006596626970159145,0.011982951732411557
