,ST,ST_conf
p,0.022926213773434387,0.04204228236680256
c_V,0.5491096136086915,0.48044935678428846
r,0.253127117133771,0.3697496033396358
k_T,0.699545612148748,0.9019099842690111
d_T,1.4355361589528253,3.151180483371572
K,0.12422509068821036,0.18991562829798497
