,beta,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,0.4,8.646751410566976,388.0839548096527
1,1.0974987654930568e-08,0.4,8.646972995834389,388.402445875644
2,1.204503540258781e-08,0.4,8.64721619017615,388.75256607648913
3,1.3219411484660288e-08,0.4,8.647483101429017,389.1375318113133
4,1.4508287784959402e-08,0.4,8.647776043140693,389.5608835723834
5,1.592282793341094e-08,0.4,8.648097554668833,390.0265406743505
6,1.747528400007683e-08,0.4,8.648450423245361,390.5388397271741
7,1.9179102616724886e-08,0.4,8.648837708203608,391.1025931973244
8,2.104904144512022e-08,0.4,8.649262767579435,391.7231306773379
9,2.310129700083158e-08,0.4,8.649729287320806,392.406370993366
10,2.5353644939701113e-08,0.4,8.650241313362178,393.15888826024053
11,2.782559402207126e-08,0.4,8.650803286848332,393.9880015426084
12,3.053855508833412e-08,0.4,8.651420082818232,394.90186090104953
13,3.351602650938841e-08,0.4,8.65209705268906,395.90955921432476
14,3.678379771828634e-08,0.4,8.652840070921938,397.02125568604083
15,4.037017258596558e-08,0.4,8.653655586281326,398.24832093317536
16,4.4306214575838774e-08,0.4,8.654550678146151,399.6035041504536
17,4.8626015800653535e-08,0.4,8.655533118376674,401.1011292810316
18,5.3366992312063125e-08,0.4,8.656611439290549,402.7573251384426
19,5.857020818056673e-08,0.4,8.657795008361836,404.5902957556536
20,6.42807311728432e-08,0.4,8.659094109931052,406.62064199423156
21,7.054802310718646e-08,0.4,8.660520031547371,408.8717434160065
22,7.742636826811277e-08,0.4,8.662085176796463,411.3702149415509
23,8.497534359086438e-08,0.4,8.663803152908182,414.1464581267675
24,9.3260334688322e-08,0.4,8.66568892918762,417.23532757498344
25,1.0235310218990269e-07,0.4,8.667758913990122,420.6769444908711
26,1.1233240329780266e-07,0.4,8.670031136235874,424.51769542730165
27,1.232846739442066e-07,0.4,8.6725253980939,428.8114662007779
28,1.3530477745798075e-07,0.4,8.675263450235986,433.62118147671
29,1.4849682622544636e-07,0.4,8.678269186845144,439.02073880167484
30,1.6297508346206436e-07,0.4,8.681568841705166,445.0974599218232
31,1.7886495290574352e-07,0.4,8.685191283387203,451.95523018284
32,1.9630406500402725e-07,0.4,8.689168182381016,459.7185548217503
33,2.1544346900318867e-07,0.4,8.693534359565316,468.5378617368411
34,2.3644894126454072e-07,0.4,8.698328084418174,478.59651308209885
35,2.5950242113997374e-07,0.4,8.703591421547072,490.1201931349581
36,2.848035868435805e-07,0.4,8.709370560680233,503.3896528644839
37,3.125715849688235e-07,0.4,8.715716452042926,518.7582632862615
38,3.4304692863149193e-07,0.4,8.72268495584716,536.6765858153459
39,3.764935806792471e-07,0.4,8.730337575013237,557.7273617759001
40,4.1320124001153343e-07,0.4,8.73874197290034,582.676288801455
41,4.534878508128582e-07,0.4,8.74797260798657,612.5472310330484
42,4.977023564332114e-07,0.4,8.758111436913866,648.7361223361569
43,5.462277217684337e-07,0.4,8.769248694452536,693.1877158511545
44,5.994842503189409e-07,0.4,8.781483758301487,748.6771479926541
45,6.579332246575682e-07,0.4,8.79492611475716,819.2714723589248
46,7.220809018385472e-07,0.5,9.812715481007498,909.0820904109398
47,7.924828983539186e-07,0.5,9.83958949362505,1031.7369990125417
48,8.697490026177835e-07,0.5,9.869146030459508,1200.695916860946
49,9.545484566618346e-07,0.5,9.901659503016578,1442.0091996787585
50,1.0476157527896663e-06,0.5,9.937433746785192,1801.4352299236223
51,1.1497569953977357e-06,0.5,9.976805450861313,2363.1937815017077
52,1.261856883066021e-06,19.0,108.39667266027371,34.71649793167599
53,1.3848863713938746e-06,19.0,287.5732688828605,64.84501118207118
54,1.519911082952933e-06,19.0,597.9880819091139,131.4362613005331
55,1.6681005372000591e-06,19.0,1275.7125070323639,288.5221676107729
56,1.8307382802953698e-06,19.0,2916.7082331366364,683.8649977381109
57,2.0092330025650458e-06,19.0,7176.024256496788,1742.8077775032843
58,2.2051307399030456e-06,19.0,18739.31388434562,4736.674136984965
59,2.4201282647943835e-06,19.0,50029.96081262443,13434.78175903411
60,2.656087782946684e-06,19.0,123632.00963720666,37244.882707781035
61,2.9150530628251817e-06,19.0,239563.24761501615,85454.56036743376
62,3.1992671377973847e-06,19.0,336257.0460889336,134767.27447208465
63,3.5111917342151347e-06,19.0,384459.8755216118,156239.7172332111
64,3.853528593710536e-06,19.0,407599.5420253661,160092.5247759178
65,4.229242874389499e-06,19.0,422345.09532992466,158865.39311589336
66,4.641588833612782e-06,19.0,433980.3088383016,156719.57702163336
67,5.094138014816386e-06,19.0,443888.91251626785,154577.16446705136
68,5.590810182512223e-06,18.6,452460.9139866862,772852.8388530709
69,6.1359072734131755e-06,17.3,459866.32975279546,2867809.203575884
70,6.7341506577508285e-06,16.2,466232.60047715355,4734597.52468053
71,7.390722033525775e-06,15.200000000000001,471671.2922828264,6506159.973231493
72,8.111308307896873e-06,14.4,476297.57552838227,7960680.153127512
73,8.902150854450392e-06,13.600000000000001,480221.7504146514,9461554.893438732
74,9.770099572992246e-06,13.0,483552.9741879482,10588742.86343701
75,1.0722672220103253e-05,12.5,486389.1615566872,11525051.011952752
76,1.1768119524349992e-05,12.0,488817.73332382756,12478238.469793303
77,1.2915496650148827e-05,11.600000000000001,490915.8056311734,13227186.62133352
78,1.4174741629268077e-05,11.200000000000001,492745.5879898295,13989516.521469593
79,1.5556761439304724e-05,10.9,494358.6436926397,14537472.140622903
80,1.7073526474706923e-05,10.600000000000001,495793.03135075094,15095866.721263016
81,1.8738174228603867e-05,10.4,497079.2211884789,15432346.342689611
82,2.0565123083486515e-05,10.200000000000001,498238.06718076725,15776696.670255905
83,2.2570197196339216e-05,10.0,499286.0136835539,16128921.655987896
84,2.477076355991714e-05,9.8,500235.72969275876,16488937.793224867
85,2.71858824273294e-05,9.600000000000001,501097.41011020466,16856626.79629334
86,2.9836472402833404e-05,9.5,501880.64362408256,16992945.984489415
87,3.274549162877732e-05,9.3,502591.02471602167,17373870.115109127
88,3.5938136638046256e-05,9.200000000000001,503237.19480399095,17521090.1405831
89,3.944206059437664e-05,9.1,503824.2300585478,17673234.39738021
90,4.328761281083062e-05,8.9,504356.6535833996,18071825.468204573
91,4.750810162102793e-05,8.8,504841.4013236495,18233575.923529223
92,5.214008287999695e-05,8.700000000000001,505281.9799460304,18399631.363573436
93,5.72236765935022e-05,8.6,505682.47085185,18569813.50942652
94,6.28029144183426e-05,8.6,506047.5737505855,18499844.999299426
95,6.89261210434971e-05,8.5,506378.66416481644,18677102.534811325
96,7.56463327554629e-05,8.4,506679.7469021547,18858011.973120037
97,8.302175681319752e-05,8.3,506953.56396906637,19042461.606139835
98,9.111627561154906e-05,8.3,507203.6176910218,18984674.394524142
99,0.0001,8.200000000000001,507430.193382167,19175014.460613396
