,c,Viral Clearance Time,Total Viral Load,Excess CTL
0,0.01,19.0,11962737.632706897,5.4864256053648654e+20
1,0.010974987654930561,19.0,11871355.779172322,4.1282780666477845e+20
2,0.012045035402587823,19.0,11772161.765211053,3.031688845945991e+20
3,0.013219411484660288,19.0,11664601.10824243,2.1691309346947085e+20
4,0.014508287784959394,19.0,11548102.52632664,1.509380967103614e+20
5,0.015922827933410922,19.0,11422082.187792148,1.019607257287419e+20
6,0.01747528400007684,19.0,11285949.48231564,6.674028579460645e+19
7,0.019179102616724886,19.0,11139114.061687917,4.225362960663543e+19
8,0.02104904144512021,19.0,10980994.486851063,2.5826892188188733e+19
9,0.023101297000831605,19.0,10811028.6141575,1.5214221388042076e+19
10,0.025353644939701114,19.0,10628685.86134257,8.623346455556346e+18
11,0.027825594022071243,19.0,10433481.456869802,4.695608020018023e+18
12,0.030538555088334154,19.0,10224992.721157864,2.453135178783486e+18
13,0.033516026509388425,19.0,10002877.373782847,1.2282800015402138e+18
14,0.03678379771828634,19.0,9766893.59411977,5.889621757331272e+17
15,0.040370172585965536,19.0,9516921.915368931,2.7034844968433357e+17
16,0.044306214575838825,19.0,9252988.048686408,1.1880523945422966e+17
17,0.04862601580065353,19.0,8975286.356488178,5.001244188989228e+16
18,0.0533669923120631,19.0,8684202.968507564,2.019140830006986e+16
19,0.05857020818056667,19.0,8380337.493315244,7832580920302925.0
20,0.06428073117284322,19.0,8064521.912747676,2926916812350110.0
21,0.07054802310718646,19.0,7737835.14951382,1057147195215352.0
22,0.0774263682681127,19.0,7401611.498581063,370576788481340.3
23,0.08497534359086446,19.0,7057441.090521108,126702027474976.7
24,0.093260334688322,19.0,6707160.5654169265,42494438998062.81
25,0.10235310218990264,19.0,6352832.359729654,14070547757424.29
26,0.11233240329780277,19.0,5996711.443836092,4632023683975.173
27,0.12328467394420665,19.0,5641199.046831055,1527434310871.7847
28,0.13530477745798075,19.0,5288783.81624381,508463037641.63525
29,0.1484968262254465,19.0,4941972.103314101,172211179401.30832
30,0.16297508346206444,19.0,4603210.256395291,59798705690.01385
31,0.1788649529057435,19.0,4274803.147602851,21443019822.425385
32,0.19630406500402714,19.0,3958834.41425415,7992505787.151547
33,0.21544346900318845,19.0,3657094.25996611,3114062492.794753
34,0.23644894126454083,19.0,3371021.1929060374,1274055332.6648178
35,0.25950242113997374,19.0,3101662.689402366,549166265.5899259
36,0.2848035868435802,19.0,2849659.0512306355,249894090.6708347
37,0.3125715849688237,19.0,2615251.791675347,120137124.6049845
38,0.34304692863149194,19.0,2398315.1193090975,60994225.934617676
39,0.37649358067924693,19.0,2198406.866670156,32656126.76066321
40,0.41320124001153385,19.0,2014832.7253136665,18395739.714949608
41,0.4534878508128584,19.0,1846715.7285035092,10871508.392774386
42,0.49770235643321115,19.0,1693064.816539469,6718198.832046092
43,0.5462277217684343,19.0,1552835.2501052364,4326040.326703188
44,0.5994842503189411,19.0,1424977.069137579,2892497.574876158
45,0.6579332246575682,19.0,1308470.5520151844,2001296.7594237474
46,0.7220809018385468,18.7,1202345.9401271518,5769167.6937287925
47,0.7924828983539177,17.400000000000002,1105700.0382195672,18781760.561941944
48,0.8697490026177834,16.2,1017707.1956898086,25099322.653003234
49,0.9545484566618342,15.100000000000001,937597.4224768684,27663061.464492094
50,1.0476157527896652,14.100000000000001,864666.320348716,28116397.35916944
51,1.149756995397737,13.200000000000001,798268.1404254085,27393364.111290514
52,1.261856883066021,12.4,737809.1743222808,26031827.918528136
53,1.384886371393873,11.700000000000001,682741.5210774774,24344217.34406638
54,1.5199110829529348,11.100000000000001,632557.3680956205,22512607.884178564
55,1.6681005372000592,10.700000000000001,586785.0978860186,20327435.7480791
56,1.8307382802953698,10.3,544981.5415715401,18517823.01339789
57,2.0092330025650478,10.100000000000001,506736.72633497557,16515844.633822247
58,2.2051307399030455,10.200000000000001,471669.12714388676,14217787.034576533
59,2.4201282647943834,10.5,439426.265523073,11970375.442112403
60,2.656087782946687,10.9,409687.9615370814,9980849.899120655
61,2.9150530628251787,11.4,382167.4917426928,8219522.455992571
62,3.1992671377973845,11.9,356609.7524888739,6779508.799140717
63,3.5111917342151346,12.5,332793.6098857167,5491017.095821641
64,3.8535285937105312,13.100000000000001,310525.803665821,4431551.334292637
65,4.229242874389499,13.8,289642.17022146896,3478227.9297512984
66,4.641588833612782,14.4,269999.1417129538,2761284.964511969
67,5.09413801481638,15.200000000000001,251478.27146359973,2045080.742385401
68,5.590810182512229,15.9,233971.8084336797,1508464.103339682
69,6.135907273413176,16.8,217391.7412521431,971747.9912609938
70,6.7341506577508286,17.7,201656.248906161,532197.5270858019
71,7.390722033525782,18.7,186693.65286346606,136913.64340675267
72,8.111308307896872,19.0,172433.64826673426,31664.150103066757
73,8.902150854450392,19.0,158808.22241626025,29704.63975358367
74,9.770099572992256,19.0,145748.46480293124,27990.073446203503
75,10.722672220103243,19.0,133151.4624526346,26489.083627934255
76,11.768119524349991,19.0,120846.84177201916,25146.722533715645
77,12.91549665014884,19.0,108465.55818551012,23836.158464566608
78,14.174741629268063,19.0,95150.1080802273,22237.235911508174
79,15.556761439304722,19.0,78947.92404243565,19590.187149324607
80,17.07352647470692,19.0,56627.39525498411,14626.290079009894
81,18.73817422860385,19.0,29066.24856679118,7526.019931708743
82,20.565123083486537,19.0,9410.9770350475,2387.184085034742
83,22.570197196339215,19.0,2377.1954460561105,591.7822825739626
84,24.770763559917114,19.0,590.375698837456,147.77190561143217
85,27.185882427329428,19.0,138.29362614593717,40.865197204274594
86,29.836472402833405,0.0,2.5,775.0409687758188
87,32.745491628777316,0.0,2.5,374.6810967545841
88,35.938136638046295,0.0,2.5,207.13586280059525
89,39.4420605943766,0.0,2.5,127.88604117274521
90,43.287612810830616,0.0,2.5,86.06598080373381
91,47.50810162102798,0.0,2.5,61.82314284550957
92,52.140082879996896,0.0,2.5,46.62445862140736
93,57.223676593502205,0.0,2.5,36.46712355762718
94,62.802914418342596,0.0,2.5,29.31995639675298
95,68.92612104349702,0.0,2.5,24.07822454195702
96,75.64633275546291,0.0,2.5,20.103513098054098
97,83.02175681319753,0.0,2.5,17.006946516130117
98,91.11627561154896,0.0,2.5,14.54061610621866
