,d_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,0.0001,12.3,131121.61279276028,15447794.851951243
1,0.00010974987654930556,12.3,131124.11494645756,15446896.44563416
2,0.00012045035402587823,12.3,131126.86104969104,15445910.531488342
3,0.00013219411484660288,12.3,131129.87488577006,15444828.59515091
4,0.000145082877849594,12.3,131133.18255643817,15443641.295614393
5,0.00015922827933410923,12.3,131136.81270806363,15442338.385530686
6,0.0001747528400007683,12.3,131140.79677951254,15440908.62360533
7,0.00019179102616724886,12.3,131145.1692743327,15439339.678754492
8,0.00021049041445120198,12.3,131149.9680595465,15437618.629387455
9,0.00023101297000831605,12.3,131155.2346933215,15435729.428756421
10,0.00025353644939701115,12.3,131161.0147847826,15433656.419203427
11,0.0002782559402207126,12.3,131167.35838876752,15431381.568456799
12,0.0003053855508833416,12.3,131174.32043899217,15428885.66259528
13,0.0003351602650938841,12.3,131181.96122355133,15426147.07155439
14,0.0003678379771828634,12.3,131190.3469065548,15423142.269105887
15,0.0004037017258596554,12.3,131199.55010061373,15419845.666620431
16,0.0004430621457583882,12.3,131209.6504951881,15416228.185242359
17,0.00048626015800653534,12.3,131220.7370985728,15412259.90790794
18,0.0005336699231206312,12.3,131232.903395335,15407906.409510802
19,0.0005857020818056667,12.3,131246.2547143528,15403130.081616249
20,0.0006428073117284319,12.3,131260.90764411364,15397890.721977266
21,0.0007054802310718645,12.3,131276.98843292636,15392143.348098561
22,0.000774263682681127,12.3,131294.63796715884,15385839.530390004
23,0.0008497534359086447,12.3,131314.00819508487,15378925.317041479
24,0.0009326033468832199,12.3,131335.26447046828,15371341.74547102
25,0.001023531021899027,12.3,131358.59430080315,15363025.353767244
26,0.0011233240329780276,12.3,131384.19812054254,15353905.307256563
27,0.0012328467394420659,12.3,131412.29751033714,15343904.938276574
28,0.0013530477745798076,12.3,131443.1356273949,15332940.257485535
29,0.001484968262254465,12.3,131476.97930422876,15320919.421718866
30,0.0016297508346206436,12.3,131514.1213504421,15307742.071792496
31,0.001788649529057435,12.3,131554.883077149,15293298.579099534
32,0.0019630406500402726,12.3,131599.61706950652,15277469.532962028
33,0.0021544346900318843,12.3,131648.71021485064,15260123.381004691
34,0.002364489412645407,12.3,131702.58700568494,15241119.626743307
35,0.002595024211399737,12.3,131761.71339703948,15220301.584125819
36,0.002848035868435802,12.3,131826.60035678124,15197499.793512959
37,0.0031257158496882354,12.3,131897.80879744352,15172532.447050696
38,0.003430469286314919,12.3,131975.95397798793,15145198.41921576
39,0.0037649358067924714,12.4,132062.71719124302,14857401.250823367
40,0.0041320124001153384,12.4,132156.83419675214,14825134.351253161
41,0.004534878508128582,12.4,132260.11804594466,14789838.10920155
42,0.004977023564332114,12.4,132373.4614420051,14751240.432816591
43,0.0054622772176843425,12.4,132497.83871119592,14709047.266670398
44,0.005994842503189409,12.4,132634.32935664957,14662941.5096227
45,0.006579332246575682,12.4,132784.09544038525,14612581.739244489
46,0.007220809018385471,12.4,132948.44366718314,14557601.040184697
47,0.007924828983539177,12.4,133128.78445651988,14497606.9803879
48,0.008697490026177835,12.4,133326.66996397826,14432177.94891305
49,0.009545484566618348,12.5,133544.80679367782,14110098.023147676
50,0.010476157527896652,12.5,133783.07816080307,14033604.503202148
51,0.011497569953977368,12.5,134044.51471812246,13950356.313736584
52,0.012618568830660211,12.5,134331.36176828574,13859831.28628653
53,0.013848863713938732,12.5,134646.08432854683,13761483.277135948
54,0.015199110829529346,12.600000000000001,134992.37930837175,13410971.453650279
55,0.016681005372000592,12.600000000000001,135371.2372507329,13297092.54866054
56,0.018307382802953697,12.600000000000001,135786.8698472874,13173785.613098646
57,0.02009233002565048,12.600000000000001,136242.8340838233,13040446.470712325
58,0.022051307399030457,12.700000000000001,136744.0585553602,12661205.978928288
59,0.024201282647943835,12.700000000000001,137292.79605961835,12508603.526521467
60,0.026560877829466867,12.8,137895.73100362063,12114768.556054246
61,0.02915053062825179,12.8,138556.00020925672,11941509.614846472
62,0.03199267137797385,12.9,139281.23738957045,11532990.57392577
63,0.03511191734215135,13.0,140076.59005804453,11119323.388288025
64,0.03853528593710531,13.0,140947.8430924111,10915469.186956305
65,0.04229242874389499,13.100000000000001,141904.40738454487,10488591.391375557
66,0.04641588833612782,13.200000000000001,142953.41163552238,10058229.296927366
67,0.0509413801481638,13.4,144104.801733135,9426665.448059248
68,0.055908101825122285,13.5,145366.44041316328,8997269.923289362
69,0.061359072734131756,13.700000000000001,146751.12708847533,8380573.053948394
70,0.06734150657750829,13.9,148269.8739522925,7773976.762818036
71,0.07390722033525783,14.100000000000001,149935.9890998457,7172581.933374337
72,0.08111308307896872,14.4,151765.35939142155,6407982.681361557
73,0.08902150854450393,14.8,153774.87169890353,5500208.380744087
74,0.09770099572992257,15.4,155985.09535867546,4354453.228008616
75,0.10722672220103242,16.400000000000002,158421.86631282765,2843195.721541274
76,0.1176811952434999,19.0,161132.69457778428,87808.80915581345
77,0.1291549665014884,19.0,164123.83555062913,79108.79295904611
78,0.14174741629268062,19.0,167481.2864569859,70702.24951146364
79,0.15556761439304723,19.0,171328.8074154821,62831.07070651427
80,0.1707352647470692,19.0,175929.47553610976,55756.046128499336
81,0.1873817422860385,19.0,181908.54841886277,49949.289752106044
82,0.20565123083486536,19.0,190799.57770477195,46470.50099745571
83,0.22570197196339215,19.0,205931.8458831406,47650.323564430015
84,0.24770763559917114,19.0,231838.6124865872,57193.85437536205
85,0.2718588242732943,19.0,268549.7891585837,76288.12980318686
86,0.298364724028334,19.0,308443.5509514242,97447.81013941817
