,p,Viral Clearance Time,Total Viral Load,Excess CTL
0,0.01,3.1,53.2682587038096,1123483.5624974258
1,0.010974987654930561,3.1,53.31465132331083,1125554.455287342
2,0.012045035402587823,3.1,53.365634187875244,1127834.5848528598
3,0.013219411484660288,3.1,53.42166867223001,1130345.8866866792
4,0.014508287784959394,3.1,53.48326400387486,1133112.7621677981
5,0.015922827933410922,3.2,54.55247635177008,1131740.978568682
6,0.01747528400007684,3.2,54.63027917626674,1135097.782124423
7,0.019179102616724886,3.2,54.715851741141265,1138800.9126200126
8,0.02104904144512021,3.2,54.80998979128456,1142888.1813839045
9,0.023101297000831605,3.2,54.913574651523206,1147401.9616772947
10,0.025353644939701114,3.2,55.02758327694431,1152389.8468981832
11,0.027825594022071243,3.2,55.15309960718262,1157905.3731331255
12,0.030538555088334154,3.3000000000000003,56.295271044594074,1159432.8472007222
13,0.033516026509388425,3.3000000000000003,56.45416622332922,1166180.5981120577
14,0.03678379771828634,3.3000000000000003,56.629295903801804,1173660.7377139456
15,0.040370172585965536,3.3000000000000003,56.82239923582993,1181961.065963955
16,0.044306214575838825,3.4000000000000004,58.0416637853419,1186450.1955020141
17,0.04862601580065353,3.4000000000000004,58.28667711947103,1196686.8830885375
18,0.0533669923120631,3.4000000000000004,58.557288161438095,1208087.8149975215
19,0.05857020818056667,3.5,59.86774526831093,1215910.7272899156
20,0.06428073117284322,3.5,60.21202947677668,1230091.1251545309
21,0.07054802310718646,3.6,61.605882251725085,1240913.2207845475
22,0.0774263682681127,3.7,63.04781314024478,1253496.145401567
23,0.08497534359086446,3.7,63.55351087489501,1273424.8375433262
24,0.093260334688322,3.8000000000000003,65.13172794480079,1290513.0686021335
25,0.10235310218990264,3.9000000000000004,66.79431086487976,1310313.8353938418
26,0.11233240329780277,4.0,68.55838605541699,1333267.4936557112
27,0.12328467394420665,4.1000000000000005,70.44398140732446,1359903.3838306551
28,0.13530477745798075,4.3,73.48185106209537,1384731.280172648
29,0.1484968262254465,4.4,75.70030942721078,1420590.0701759916
30,0.16297508346206444,4.6000000000000005,79.1507081577503,1455837.4620519774
31,0.1788649529057435,4.9,83.89108460727284,1490617.2373906467
32,0.19630406500402714,5.1000000000000005,88.00076263610026,1540104.3251570684
33,0.21544346900318845,5.5,94.59624151296714,1583166.8503654029
34,0.23644894126454083,5.9,101.83170869607208,1635702.6020963327
35,0.25950242113997374,6.300000000000001,109.933512823992,1699955.4363374342
36,0.2848035868435802,6.9,121.22317922915528,1757516.7759737093
37,0.3125715849688237,7.6000000000000005,135.16283493232112,1816395.7347759218
38,0.34304692863149194,8.4,152.4136829256008,1874682.0597776056
39,0.37649358067924693,9.4,174.88404641062596,1912318.3385208726
40,0.41320124001153385,10.4,201.74943210337034,1950910.8394227545
41,0.4534878508128584,11.4,234.36521449516925,1984964.223944252
