,k_T,Viral Clearance Time,Total Viral Load,Excess CTL
0,10.0,0.0,2.5,1430267942.484299
1,11.768119524349984,0.0,2.5,1310588919.3091152
2,13.848863713938732,0.0,2.5,1196738702.044962
3,16.297508346206442,0.0,2.5,1089031953.8154464
4,19.179102616724887,0.0,2.5,987728945.6150752
5,22.570197196339205,0.0,2.5,893029342.5341078
6,26.560877829466868,0.0,2.5,805064469.4685097
7,31.25715849688235,0.0,2.5,723885678.3952843
8,36.783797718286344,0.1,3.586856319742566,649451640.2451141
9,43.28761281083057,0.1,3.873778908557174,581622471.2630087
10,50.9413801481638,0.1,4.146591457556094,520165104.4136489
11,59.94842503189409,0.1,4.390161119324128,464768859.4418363
12,70.54802310718642,0.1,4.597634747838367,415066707.64452636
13,83.02175681319744,0.1,4.7686619144865094,370658631.3992721
14,97.70099572992251,0.1,4.90670569149605,331132295.8142701
15,114.97569953977356,0.1,5.016796927001401,296076121.0804384
16,135.30477745798075,0.2,6.367075910744272,264889303.2684388
17,159.22827933410923,0.2,6.800387680054898,237608314.72737145
18,187.3817422860383,0.2,7.1918768391802725,213600740.44169813
19,220.51307399030455,0.2,7.527525371542833,192510899.81162733
20,259.5024211399737,0.30000000000000004,9.165325721992097,173742535.82115385
21,305.3855508833416,0.30000000000000004,9.803242782788953,157595597.76118898
22,359.38136638046257,0.4,11.485775550890146,143101255.05289936
23,422.9242874389499,0.4,12.423542299598267,130796264.79038565
24,497.70235643321087,0.5,14.40058289589603,119666281.83220202
25,585.7020818056661,0.5,15.66361154535318,110305595.04613931
26,689.2612104349695,0.6000000000000001,18.123281232232088,101784264.02100065
27,811.1308307896873,0.7000000000000001,20.808188950781854,94322403.28004563
28,954.5484566618337,0.7000000000000001,22.890400750405746,88149453.24104136
29,1123.3240329780276,0.8,26.386929737320713,82445499.37849435
30,1321.9411484660286,0.9,30.353354202125058,77457319.9532193
31,1555.6761439304723,1.0,34.900035820401364,73096912.70714486
32,1830.7382802953678,1.1,40.1465472778757,69285792.97962071
33,2154.4346900318824,1.2000000000000002,46.2275681916525,65954450.1007474
34,2535.3644939701117,1.4000000000000001,54.331946629734404,62739256.716054395
35,2983.6472402833374,1.5,62.68754031656932,60200392.90327492
36,3511.191734215131,1.6,72.45431494305224,57977834.71470992
37,4132.0124001153345,1.8,84.89993680146043,55739316.97708612
38,4862.601580065353,1.9000000000000001,98.45647826113638,54037213.37525462
39,5722.367659350214,2.0,114.35594672063034,52540282.419620015
40,6734.150657750822,2.2,134.16176878017617,50941148.19973804
41,7924.82898353917,2.3000000000000003,156.28808137574003,49779708.80727112
42,9326.0334688322,2.5,183.43574135298698,48473103.1296722
43,10974.987654930545,2.6,214.21757281240133,47559077.48551177
44,12915.496650148827,2.8000000000000003,251.586049276514,46467635.281169966
45,15199.11082952933,3.0,295.3914677471721,45460767.632797725
46,17886.495290574352,3.1,345.93401270121825,44800006.63591777
47,21049.04144512022,3.3000000000000003,406.4346245081146,43926673.949229404
48,24770.76355991709,3.4000000000000004,476.59592374192925,43377218.257804535
49,29150.53062825176,3.6,560.2193760205204,42600114.329483695
50,34304.692863149125,3.7,657.5618152743851,42130608.2372312
51,40370.1725859655,3.9000000000000004,773.1992721824392,41422356.67916754
52,47508.101621027934,4.0,908.187138699026,41009847.97810604
53,55908.10182512223,4.2,1068.1421998596488,40350473.91540685
54,65793.32246575682,4.3,1255.25569469899,39978216.46491962
55,77426.36826811278,4.5,1476.555231615412,39353162.89491637
56,91116.27561154887,4.6000000000000005,1735.8302575861044,39008922.883937985
57,107226.72220103232,4.800000000000001,2042.035119728123,38407548.07003931
58,126185.6883066021,4.9,2401.1891748730554,38082306.92144175
59,148496.82622544636,5.1000000000000005,2824.8919087621557,37496732.143379584
60,174752.8400007683,5.2,3322.257028442644,37183723.32213887
61,205651.23083486516,5.4,3908.524492927518,36607971.74751814
62,242012.82647943834,5.5,4597.085601824005,36301934.178696044
63,284803.5868435799,5.7,5408.195531064389,35731277.95729198
64,335160.2650938841,5.800000000000001,6361.140728022929,35427887.08063922
65,394420.6059437656,6.0,7483.080765665258,34858330.89476833
66,464158.8833612772,6.1000000000000005,8801.40512519097,34553739.79959298
67,546227.7217684337,6.300000000000001,10352.76156438959,33981614.02409083
68,642807.311728432,6.4,12175.644890484376,33672077.514082536
69,756463.3275546291,6.6000000000000005,14319.702454052896,33093693.432779767
70,890215.0854450375,6.7,16838.589378336153,32775230.25178207
71,1047615.7527896641,6.9,19799.685931287637,32186565.267869376
72,1232846.7394420658,7.1000000000000005,23278.24893538749,31591338.317385864
73,1450828.7784959401,7.2,27362.686168099503,31251078.069739208
74,1707352.6474706887,7.4,32159.106307842805,30638422.81064794
75,2009233.0025650458,7.5,37787.109270059715,30276407.531594828
76,2364489.412645407,7.7,44390.16743804309,29640388.158027377
77,2782559.402207126,7.9,52131.66275606764,28990707.94670833
78,3274549.162877725,8.0,61201.34922403142,28583285.63172418
79,3853528.5937105273,8.200000000000001,71821.85676858595,27899592.692182474
80,4534878.5081285825,8.4,84246.80113302385,27196732.011274472
81,5336699.231206302,8.6,98769.18335190018,26472862.777020276
82,6280291.441834247,8.8,115725.01633237564,25726207.89420766
83,7390722.033525775,9.0,135498.2451719711,24955141.65241822
84,8697490.026177835,9.200000000000001,158525.83713226594,24158293.514313452
85,10235310.218990248,9.5,185304.02270397276,23094015.282362718
86,12045035.402587812,9.700000000000001,216389.771454114,22247093.286548264
87,14174741.629268048,10.0,252412.98702362555,21141270.323742896
88,16681005.372000592,10.3,294075.5202784594,20019778.428289868
