,p,k_V,c_V,r,k_T,d_T,K,T_0,V_0,RMSLE
0,5.70553084303517,1200000.0,2.0758820492261895e-06,0.21541099633655136,7507.159951284528,0.00010000000000000009,3346160.277256178,946546.4,25.0,1.0211774178274104
1,5.705015995601194,1200000.0,2.0757166856559946e-06,0.21545070042999015,7505.200291663408,0.00013738237958832645,3347461.1450287215,946546.4,25.0,1.0211377919112812
2,5.704391570392119,1200000.0,2.075175086609737e-06,0.21549326640040078,7501.223394185305,0.00018873918221350998,3347765.3802525075,946546.4,25.0,1.021083382129383
3,5.703517159431449,1200000.0,2.0745791222166675e-06,0.21555571120906336,7496.827381879091,0.0002592943797404667,3348646.032462541,946546.4,25.0,1.0210086880980638
4,5.702410843473878,1200000.0,2.0737776048530384e-06,0.21564210766794645,7490.529153071344,0.00035622478902624433,3349801.0227734726,946546.4,25.0,1.0209061758550222
5,5.70093074032318,1200000.0,2.072852846794193e-06,0.21575672166589044,7481.189417354763,0.0004893900918477496,3352135.1777054276,946546.4,25.0,1.0207655421862896
6,5.6988577139903285,1200000.0,2.071261833539985e-06,0.2159020386254511,7465.7798583731055,0.0006723357536499342,3354031.296163643,946546.4,25.0,1.0205727082943459
7,5.696002757045989,1200000.0,2.069276994140986e-06,0.21611855844317773,7447.623674683273,0.0009236708571873872,3357610.027515552,946546.4,25.0,1.0203084956133521
8,5.691906736012605,1200000.0,2.0663294018587595e-06,0.21642870088652444,7425.957112684846,0.0012689610031679226,3362032.216735315,946546.4,25.0,1.019946846229558
9,5.686546531242556,1200000.0,2.062526578896774e-06,0.2168234244462468,7389.472898408771,0.0017433288221999877,3368203.5569234653,946546.4,25.0,1.0194525201501
10,5.679104061347189,1200000.0,2.0572033054807784e-06,0.2173823430215336,7343.482807844877,0.0023950266199874856,3376701.1267652367,946546.4,25.0,1.018778163157891
11,5.668891468885484,1200000.0,2.0498187836141585e-06,0.21815619225102267,7282.095263183117,0.0032903445623126693,3387937.4849192044,946546.4,25.0,1.017860720817743
12,5.655194173165782,1200000.0,2.039903747168917e-06,0.2191959164603574,7194.144424952567,0.004520353656360246,3403449.624480187,946546.4,25.0,1.0166173537156113
13,5.636514356561804,1200000.0,2.026424008523222e-06,0.22063564241687317,7077.21752024442,0.0062101694189156155,3425068.7596648177,946546.4,25.0,1.0149414384533273
14,5.611367599181698,1200000.0,2.0081659206269066e-06,0.22260827493567348,6918.738922804594,0.008531678524172812,3454772.8246201817,946546.4,25.0,1.0127001968673177
15,5.577555892829238,1200000.0,1.9834068517452373e-06,0.22531883041995115,6706.244003422558,0.011721022975334798,3495388.925261604,946546.4,25.0,1.0097372392778887
16,5.5331015317413375,1200000.0,1.9506878999702153e-06,0.229000899232922,6419.180002309382,0.016102620275609394,3551838.499592175,946546.4,25.0,1.0058874111829095
17,5.474778254780901,1200000.0,1.9070903841572108e-06,0.23404242880302206,6042.888722971082,0.0221221629107045,3628532.424227436,946546.4,25.0,1.0010186892737374
18,5.400020596165433,1200000.0,1.850231823193445e-06,0.2408765501714214,5550.432966828346,0.030391953823131965,3733198.202480886,946546.4,25.0,0.9951306329022305
19,5.306731641524081,1200000.0,1.7773497909025419e-06,0.25008048704749797,4919.469741202891,0.04175318936560401,3874461.1625889805,946546.4,25.0,0.9885653140393313
20,5.194662419437769,1200000.0,1.6862243068114778e-06,0.2623123702107151,4131.316644392908,0.05736152510448675,4061039.8191592353,946546.4,25.0,0.9824289284911061
21,5.06807392750752,1200000.0,1.5764407936369628e-06,0.27822460526081727,3190.204365193844,0.07880462815669909,4297609.315020241,946546.4,25.0,0.9793630144779526
22,4.942443224899847,1200000.0,1.4057309952426468e-06,0.29260744573704756,1734.945597410202,0.10826367338740542,4189170.2640337055,946546.4,25.0,0.9863793646646657
23,5.182002351735655,1200000.0,1.1536386465543221e-06,0.2844080262707749,173.3597582578659,0.14873521072935103,3064333.460616308,946546.4,25.0,1.0455439696383473
24,5.7345367782441485,1200000.0,9.384273588391298e-07,0.30645721660712866,10.000000067055225,0.2043359717856941,2413994.2762551806,946546.4,25.0,1.1531652568579769
25,8.637014556763688,1200000.0,4.3338993707801616e-07,0.39830525357879054,10.000000022351742,0.28072162039411763,1249615.8786276625,946546.4,25.0,1.4776438374458845
26,6.925116931889036,1200000.0,1.5843883868768896e-06,0.34905325549171806,10.000000059604645,0.38566204211634686,2426754.8299466474,946546.4,25.0,1.7174547537472258
27,6.683423370832564,1200000.0,1.5239465193066096e-06,0.45045472554644306,10.000000186264515,0.5298316906283705,2934282.3371773544,946546.4,25.0,1.7911429081729309
28,6.634172535662103,1200000.0,1.2487908689738585e-06,0.6062504541647016,10.000000014901161,0.7278953843983149,3029633.720013121,946546.4,25.0,1.899565420322269
29,6.674163713662935,1200000.0,1.037240742455983e-06,0.8255292943659001,10.00000000745058,1.0,3193168.4555384214,946546.4,25.0,2.0575736565837097
