,beta,Viral Clearance Time,Total Viral Load,Excess CTL
0,1e-08,0.0,2.5,224.54960952380202
1,1.0974987654930568e-08,0.0,2.5,224.61755142071647
2,1.204503540258781e-08,0.0,2.5,224.69216163008815
3,1.3219411484660288e-08,0.0,2.5,224.77409863885836
4,1.4508287784959402e-08,0.0,2.5,224.86408721374454
5,1.592282793341094e-08,0.0,2.5,224.96292601745813
6,1.747528400007683e-08,0.0,2.5,225.07149359039022
7,1.9179102616724886e-08,0.0,2.5,225.19075725478456
8,2.104904144512022e-08,0.0,2.5,225.32178246980197
9,2.310129700083158e-08,0.0,2.5,225.4657439503236
10,2.5353644939701113e-08,0.0,2.5,225.62393572600558
11,2.782559402207126e-08,0.0,2.5,225.7977857889432
12,3.053855508833412e-08,0.0,2.5,225.98886989589076
13,3.351602650938841e-08,0.0,2.5,226.19892590385857
14,3.678379771828634e-08,0.0,2.5,226.4298749850772
15,4.037017258596558e-08,0.0,2.5,226.68383991540762
16,4.4306214575838774e-08,0.0,2.5,226.9631688542722
17,4.8626015800653535e-08,0.0,2.5,227.27045915947514
18,5.3366992312063125e-08,0.0,2.5,227.60858888174417
19,5.857020818056673e-08,0.0,2.5,227.9807495627669
20,6.42807311728432e-08,0.0,2.5,228.39048084743558
21,7.054802310718646e-08,0.0,2.5,228.84171611763298
22,7.742636826811277e-08,0.0,2.5,229.33882902694157
23,8.497534359086438e-08,0.0,2.5,229.8866905321249
24,9.3260334688322e-08,0.0,2.5,230.49073074969337
25,1.0235310218990269e-07,0.0,2.5,231.1570137463918
26,1.1233240329780266e-07,0.0,2.5,231.89232213270722
27,1.232846739442066e-07,0.0,2.5,232.70425707802067
28,1.3530477745798075e-07,0.0,2.5,233.60134617796277
29,1.4849682622544636e-07,0.0,2.5,234.59319068642804
30,1.6297508346206436e-07,0.0,2.5,235.6906107052462
31,1.7886495290574352e-07,0.0,2.5,236.9058377869078
32,1.9630406500402725e-07,0.0,2.5,238.25273437467985
33,2.1544346900318867e-07,0.0,2.5,239.7470574732345
34,2.3644894126454072e-07,0.0,2.5,241.406775301724
35,2.5950242113997374e-07,0.0,2.5,243.25244352050368
36,2.848035868435805e-07,0.0,2.5,245.30767334909766
37,3.125715849688235e-07,0.0,2.5,247.5996897748962
38,3.4304692863149193e-07,0.0,2.5,250.16002394403336
39,3.764935806792471e-07,0.0,2.5,253.02536811854813
40,4.1320124001153343e-07,0.0,2.5,256.23863957548156
41,4.534878508128582e-07,0.0,2.5,259.8503163114655
42,4.977023564332114e-07,0.0,2.5,263.920131239679
43,5.462277217684337e-07,0.0,2.5,268.5192212647177
44,5.994842503189409e-07,0.0,2.5,273.7329192300037
45,6.579332246575682e-07,0.0,2.5,279.664357501734
46,7.220809018385472e-07,0.0,2.5,286.4392296263949
47,7.924828983539186e-07,0.0,2.5,294.21210336564695
48,8.697490026177835e-07,0.0,2.5,303.1749143533059
49,9.545484566618346e-07,0.0,2.5,313.56854734412633
50,1.0476157527896663e-06,0.0,2.5,325.6988305074163
51,1.1497569953977357e-06,0.0,2.5,339.95893338649176
52,1.261856883066021e-06,0.0,2.5,356.86131274738
53,1.3848863713938746e-06,0.0,2.5,377.0839376610706
54,1.519911082952933e-06,0.0,2.5,401.53854313677874
55,1.6681005372000591e-06,0.0,2.5,431.4733444235525
56,1.8307382802953698e-06,0.0,2.5,468.63113808798374
57,2.0092330025650458e-06,0.0,2.5,515.4980209920382
58,2.2051307399030456e-06,0.0,2.5,575.7053043777242
59,2.4201282647943835e-06,0.0,2.5,654.6964419868779
60,2.656087782946684e-06,0.0,2.5,760.8669297748596
61,2.9150530628251817e-06,0.0,2.5,907.5772396815361
62,3.1992671377973847e-06,0.0,2.5,1116.8327740241427
63,3.5111917342151347e-06,0.0,2.5,1426.2711827897645
64,3.853528593710536e-06,0.0,2.5,1902.985458669649
65,4.229242874389499e-06,19.0,21.955971164660266,45.625540337583516
66,4.641588833612782e-06,19.0,93.14528841377032,78.36201530451072
67,5.094138014816386e-06,19.0,222.46792118369373,144.14554015661707
68,5.590810182512223e-06,19.0,486.66293084439366,285.16063537393933
69,6.1359072734131755e-06,19.0,1082.4800353592789,609.0913289095159
70,6.7341506577508285e-06,19.0,2530.9513198378227,1409.6459503019928
71,7.390722033525775e-06,19.0,6275.282735056333,3541.297464415763
72,8.111308307896873e-06,19.0,16127.65113040331,9605.081091700717
73,8.902150854450392e-06,19.0,39565.30712296507,27147.592243717194
74,9.770099572992246e-06,19.0,78869.36669679079,70001.8923234007
75,1.0722672220103253e-05,19.0,114442.7621635945,130779.96166038194
76,1.1768119524349992e-05,19.0,132138.23644306324,172371.45043980895
77,1.2915496650148827e-05,19.0,139362.2272299652,191984.55697994004
78,1.4174741629268077e-05,19.0,143066.78137167153,202594.3437703646
79,1.5556761439304724e-05,19.0,145601.68321726905,210061.45712713795
80,1.7073526474706923e-05,19.0,147587.44701305957,216047.2187094059
81,1.8738174228603867e-05,18.5,149194.11488266423,1325992.3352609316
82,2.0565123083486515e-05,17.400000000000002,150496.02371749392,3826426.279073576
83,2.2570197196339216e-05,16.400000000000002,151537.79941556894,6166729.088979495
84,2.477076355991714e-05,15.600000000000001,152357.89538881066,8086022.818397995
85,2.71858824273294e-05,14.9,152990.62149164593,9789150.025221871
86,2.9836472402833404e-05,14.3,153469.41492254444,11262282.527543193
87,3.274549162877732e-05,13.700000000000001,153824.07804641218,12732673.191352518
88,3.5938136638046256e-05,13.200000000000001,154082.10106699265,13961632.802059893
89,3.944206059437664e-05,12.8,154270.32399030204,14946679.76537555
90,4.328761281083062e-05,12.5,154405.28989776023,15687313.449224444
91,4.750810162102793e-05,12.100000000000001,154500.7328952741,16660216.713478459
92,5.214008287999695e-05,11.8,154572.34268734147,17391179.97385442
93,5.72236765935022e-05,11.600000000000001,154626.7011558384,17880820.81243003
94,6.28029144183426e-05,11.4,154669.4601957653,18368313.93181649
95,6.89261210434971e-05,11.200000000000001,154704.37440978998,18854398.58285711
96,7.56463327554629e-05,11.0,154733.75810154574,19339534.135823652
97,8.302175681319752e-05,10.8,154759.0032399865,19823992.07031667
98,9.111627561154906e-05,10.700000000000001,154781.9624566701,20068939.63824575
99,0.0001,10.5,154801.2234998495,20552383.11121514
