,c,Viral Clearance Time,Total Viral Load,Excess CTL
0,0.01,19.0,15811348.822071163,32192744.601400334
1,0.010974987654930561,19.0,15690298.83779444,32172090.95917764
2,0.012045035402587823,19.0,15558890.219536878,32149212.803474165
3,0.013219411484660288,19.0,15416385.742483977,32123857.590718534
4,0.014508287784959394,19.0,15262025.270630132,32095725.86142014
5,0.015922827933410922,19.0,15095031.530178983,32064479.384377547
6,0.01747528400007684,19.0,14914617.515646853,32029739.225599017
7,0.019179102616724886,19.0,14719995.812810812,31991049.278856333
8,0.02104904144512021,19.0,14510389.724140272,31947910.391522482
9,0.023101297000831605,19.0,14285047.26421994,31899729.010012753
10,0.025353644939701114,19.0,14043257.06420036,31845829.26129287
11,0.027825594022071243,19.0,13784367.222757135,31785398.919074524
12,0.030538555088334154,19.0,13507806.788267791,31717526.63499052
13,0.033516026509388425,19.0,13213109.846285332,31641093.6606833
14,0.03678379771828634,19.0,12899942.423765853,31554820.577935547
15,0.040370172585965536,19.0,12568130.971014105,31457143.41998572
16,0.044306214575838825,19.0,12217693.103387348,31346227.161316857
17,0.04862601580065353,19.0,11848868.486976989,31219844.07897751
18,0.0533669923120631,19.0,11462150.104085151,31075296.97882981
19,0.05857020818056667,19.0,11058313.14440339,30909298.60976227
20,0.06428073117284322,19.0,10638440.474760052,30717810.845270738
21,0.07054802310718646,19.0,10203942.677997772,30495857.238970228
22,0.0774263682681127,19.0,9756570.023180947,30237240.964717653
23,0.08497534359086446,19.0,9298413.858244803,29934216.06998585
24,0.093260334688322,19.0,8831895.364783172,29577050.931429256
25,0.10235310218990264,19.0,8359739.177990748,29153464.44262357
26,0.11233240329780277,19.0,7884930.480664587,28647928.85676778
27,0.12328467394420665,19.0,7410654.660148947,28040834.890317358
28,0.13530477745798075,19.0,6940220.314463008,27307585.846837103
29,0.1484968262254465,19.0,6476967.436907666,26417746.474917065
30,0.16297508346206444,19.0,6024164.593631129,25334712.112258956
31,0.1788649529057435,19.0,5584900.701127702,24016650.438447665
32,0.19630406500402714,19.0,5161978.437219963,22420325.013843514
33,0.21544346900318845,19.0,4757817.025642024,20509979.354101703
34,0.23644894126454083,19.0,4374372.652599066,18273850.604625832
35,0.25950242113997374,19.0,4013084.4674232816,15748058.114562634
36,0.2848035868435802,19.0,3674849.8824515403,13039788.637219913
37,0.3125715849688237,19.0,3360033.3644492067,10329873.917288886
38,0.34304692863149194,19.0,3068505.6561977677,7833687.29845456
39,0.37649358067924693,19.0,2799709.803476015,5727737.24021858
40,0.41320124001153385,19.0,2552745.200754049,4089632.3684848207
41,0.4534878508128584,19.0,2326460.1452776305,2894591.815166317
42,0.49770235643321115,19.0,2119543.20729516,2058423.7123319525
43,0.5462277217684343,19.0,1930604.8360008697,1484981.4786204048
44,0.5994842503189411,19.0,1758243.7295069206,1092885.1232679014
45,0.6579332246575682,19.0,1601095.5426088567,822518.8622970502
46,0.7220809018385468,19.0,1457864.5786969054,633303.8663899014
47,0.7924828983539177,17.900000000000002,1327333.5747302508,6304619.931888907
48,0.8697490026177834,16.7,1208398.141947649,10746719.879846618
49,0.9545484566618342,15.600000000000001,1100030.6648533668,13572170.747089382
50,1.0476157527896652,14.600000000000001,1001292.6300161964,15332640.684445323
51,1.149756995397737,13.700000000000001,911328.7426221755,16382334.83912918
52,1.261856883066021,12.9,829359.4144678869,16951382.398960285
53,1.384886371393873,12.200000000000001,754673.8604676408,17189877.265792407
54,1.5199110829529348,11.5,686622.7533308805,17516508.46908449
55,1.6681005372000592,11.0,624616.4251166288,17332150.293061078
56,1.8307382802953698,10.600000000000001,568113.5319017377,17013510.124584444
57,2.0092330025650478,10.3,516620.31150865677,16580337.03659326
58,2.2051307399030455,10.100000000000001,469685.24553996715,16042670.140773606
59,2.4201282647943834,10.0,426895.095308502,15405756.417618992
60,2.656087782946687,9.9,387870.14340513776,14915231.1346024
61,2.9150530628251787,10.0,352264.74518543965,14080566.484375197
62,3.1992671377973845,10.100000000000001,319757.37628058466,13381775.730625192
63,3.5111917342151346,10.200000000000001,290054.5832420017,12796777.697347403
64,3.8535285937105312,10.3,262887.452370459,12309100.981289567
65,4.229242874389499,10.5,238012.1891957546,11706338.257874696
66,4.641588833612782,10.8,215207.9056426877,10996310.766875776
67,5.09413801481638,11.100000000000001,194276.8214341578,10370843.77300595
68,5.590810182512229,11.4,175046.48752057872,9816800.542633122
69,6.135907273413176,11.8,157369.56354070324,9148233.187093379
70,6.7341506577508286,12.3,141121.25943925575,8369962.110768989
71,7.390722033525782,12.9,126198.93522924796,7487664.337992368
72,8.111308307896872,13.600000000000001,112517.14154487978,6508413.746533654
73,8.902150854450392,14.4,100014.73040870277,5441173.111723107
74,9.770099572992256,15.5,88637.92368685544,4030362.9616543246
75,10.722672220103243,16.7,78335.91020641112,2595735.1543976637
76,11.768119524349991,18.2,69068.0253668077,931191.7737962191
77,12.91549665014884,19.0,60767.97717128483,102886.89010848594
78,14.174741629268063,19.0,53321.54817518941,106580.34050619295
79,15.556761439304722,19.0,46502.98942996082,109790.1889421239
80,17.07352647470692,19.0,39637.62714775691,108287.47653571177
81,18.73817422860385,19.0,30820.720453471928,90694.8199223902
82,20.565123083486537,19.0,18018.809577490963,52628.46070860789
83,22.570197196339215,19.0,6628.062535356505,19331.14908083143
84,24.770763559917114,19.0,1815.55724304434,5282.948518380966
85,27.185882427329428,19.0,469.24469084591743,1378.1668351654896
86,29.836472402833405,19.0,107.859826739284,388.8802983152331
87,32.745491628777316,0.0,2.5,7599.565820301931
88,35.938136638046295,0.0,2.5,3677.368686955735
89,39.4420605943766,0.0,2.5,2025.7477588670795
90,43.287612810830616,0.0,2.5,1243.4204630831612
91,47.50810162102798,0.0,2.5,831.4366565854284
92,52.140082879996896,0.0,2.5,593.6314388498199
93,57.223676593502205,0.0,2.5,445.33093457274373
94,62.802914418342596,0.0,2.5,346.76852697482116
95,68.92612104349702,0.0,2.5,277.7820056041585
96,75.64633275546291,0.0,2.5,227.43089470088026
97,83.02175681319753,0.0,2.5,189.41343722239847
98,91.11627561154896,0.0,2.5,159.9055825012154
99,100.0,0.0,2.5,136.47921518817307
