,c,Viral Clearance Time,Total Viral Load,Excess CTL
0,0.01,19.0,12062930.739079487,3.280196223325068e+42
1,0.010974987654930561,19.0,11966298.708478626,1.6389018078432508e+42
2,0.012045035402587823,19.0,11861459.256020658,7.719699261727243e+41
3,0.013219411484660288,19.0,11747840.564891608,3.4139442230192412e+41
4,0.014508287784959394,19.0,11624855.774167197,1.4115215196535303e+41
5,0.015922827933410922,19.0,11491908.076360963,5.432856875410218e+40
6,0.01747528400007684,19.0,11348397.159478877,1.938214563525633e+40
7,0.019179102616724886,19.0,11193727.167839274,6.38182270700522e+39
8,0.02104904144512021,19.0,11027316.351499185,1.9312397796799473e+39
9,0.023101297000831605,19.0,10848608.559358945,5.349764682830389e+38
10,0.025353644939701114,19.0,10657086.702595498,1.3515079257987296e+38
11,0.027825594022071243,19.0,10452288.269420428,3.103389190897867e+37
12,0.030538555088334154,19.0,10233822.905106861,6.45891123023188e+36
13,0.033516026509388425,19.0,10001391.979248356,1.215750793815498e+36
14,0.03678379771828634,19.0,9754809.939410593,2.0668069361524844e+35
15,0.040370172585965536,19.0,9494027.099492367,3.17216225411847e+34
16,0.044306214575838825,19.0,9219153.32285481,4.3988464028924735e+33
17,0.04862601580065353,19.0,8930481.845432112,5.5226574168706026e+32
18,0.0533669923120631,19.0,8628512.242268097,6.2997652531489065e+31
19,0.05857020818056667,19.0,8313971.28184386,6.563222833958311e+30
20,0.06428073117284322,19.0,7987830.20978336,6.288381598459828e+29
21,0.07054802310718646,19.0,7651316.650362735,5.589886327550333e+28
22,0.0774263682681127,19.0,7305919.40133275,4.659501620412529e+27
23,0.08497534359086446,19.0,6953384.137510015,3.687926581379929e+26
24,0.093260334688322,19.0,6595698.221073791,2.8114032127068018e+25
25,0.10235310218990264,19.0,6235063.343220853,2.0971391055507554e+24
26,0.11233240329780277,19.0,5873854.888917936,1.5570683159994293e+23
27,0.12328467394420665,19.0,5514568.161773839,1.1715423876319554e+22
28,0.13530477745798075,19.0,5159752.474165366,9.098044614252271e+20
29,0.1484968262254465,19.0,4811935.375012236,7.426562775910448e+19
30,0.16297508346206444,19.0,4473540.800583872,6.484416600501643e+18
31,0.1788649529057435,19.0,4146805.9923520936,6.154827077557148e+17
32,0.19630406500402714,19.0,3833703.2367491564,6.441991194113478e+16
33,0.21544346900318845,19.0,3535872.599012156,7523992841437962.0
34,0.23644894126454083,19.0,3254571.740673231,989632282055590.0
35,0.25950242113997374,19.0,2990647.786716892,147498799956144.22
36,0.2848035868435802,19.0,2744533.721661991,24991262492493.14
37,0.3125715849688237,19.0,2516269.8459025742,4815471415244.583
38,0.34304692863149194,19.0,2305547.180522498,1052953177518.4126
39,0.37649358067924693,19.0,2111767.8511482435,260170755977.20602
40,0.41320124001153385,19.0,1934114.8818030101,72219564836.06575
41,0.4534878508128584,19.0,1771623.902345922,22366560128.523132
42,0.49770235643321115,19.0,1623249.4894140656,7670665886.65815
43,0.5462277217684343,19.0,1487921.1308532394,2890759739.666685
44,0.5994842503189411,19.0,1364585.5246752922,1187993370.5947154
45,0.6579332246575682,19.0,1252235.549198648,528257273.2538924
46,0.7220809018385468,17.6,1149917.8411004846,3783899771.221738
47,0.7924828983539177,16.3,1056774.6638785696,3572409895.3327923
48,0.8697490026177834,15.0,971997.5761150431,2737837894.081876
49,0.9545484566618342,13.9,894853.1368414777,1870799869.1384797
50,1.0476157527896652,12.9,824670.4639898704,1253528929.8872986
51,1.149756995397737,12.0,760839.1267272662,845134332.3426646
52,1.261856883066021,11.100000000000001,702801.5680966014,589473958.920782
53,1.384886371393873,10.4,650051.7759997846,412174221.4925341
54,1.5199110829529348,9.700000000000001,602123.1213763453,299297684.94300634
55,1.6681005372000592,9.1,558590.4421688006,221712870.01676986
56,1.8307382802953698,8.6,519060.95728845027,167324705.36007196
57,2.0092330025650478,8.1,483169.1442126611,130532596.01258887
58,2.2051307399030455,7.7,450574.5061365038,103380823.47257312
59,2.4201282647943834,7.4,420953.45848865004,83005385.74261902
60,2.656087782946687,7.1000000000000005,393995.0186656956,68629672.45715962
61,2.9150530628251787,6.9,369400.9273274694,57579089.97935097
62,3.1992671377973845,6.9,346883.5651817725,48554879.22783953
63,3.5111917342151346,7.0,326166.677041665,42200375.50811005
64,3.8535285937105312,7.300000000000001,306995.015949358,36982736.6282589
65,4.229242874389499,7.7,289135.05405244365,32736137.168435626
66,4.641588833612782,8.1,272380.7743150403,29463791.551044893
67,5.09413801481638,8.5,256556.53506770084,26830602.16096965
68,5.590810182512229,8.9,241516.18341352622,24649533.792664636
69,6.135907273413176,9.4,227142.3808296361,22433473.348157097
70,6.7341506577508286,9.9,213340.43619751325,20525432.4368222
71,7.390722033525782,10.4,200038.01271440752,18856508.052786265
72,8.111308307896872,10.8,187179.5713717721,17674528.405321743
73,8.902150854450392,11.3,174727.0860222807,16326010.637016995
74,9.770099572992256,11.9,162652.05057887008,14832454.13235168
75,10.722672220103243,12.4,150931.86457260078,13715969.880188875
76,11.768119524349991,12.9,139555.3753774565,12674605.336496925
77,12.91549665014884,13.5,128514.7298152598,11455969.758620303
78,14.174741629268063,14.0,117801.41864908097,10516298.829138283
79,15.556761439304722,14.600000000000001,107411.64371898363,9370048.911285875
80,17.07352647470692,15.3,97339.18170778305,8002547.621118416
81,18.73817422860385,16.0,87574.21443608496,6591515.630283773
82,20.565123083486537,16.8,78109.76576797811,4890678.249551506
83,22.570197196339215,17.7,68931.18116071643,2939522.743565488
84,24.770763559917114,18.8,60024.92239751333,619658.2897144393
85,27.185882427329428,19.0,51354.84351360434,199372.79307781928
86,29.836472402833405,19.0,42871.77005357626,191073.6525900352
87,32.745491628777316,19.0,34457.6814386319,182194.9367786254
88,35.938136638046295,19.0,25834.137091593388,172094.4083834815
89,39.4420605943766,19.0,16773.147432098995,160192.45307004533
90,43.287612810830616,19.0,8470.315348763797,148104.0769597727
91,47.50810162102798,19.0,3363.3848798088593,139122.28141423417
92,52.140082879996896,19.0,1246.1416672925761,132835.4262242898
93,57.223676593502205,19.0,488.53389113364364,126969.89765620216
94,62.802914418342596,19.0,205.37273476049234,120029.85830908059
95,68.92612104349702,19.0,79.38019274271724,110930.53967942386
96,75.64633275546291,0.0,2.5,7031314.689056213
97,83.02175681319753,0.0,2.5,5463760.521143622
98,91.11627561154896,0.0,2.5,3852604.9963428676
99,100.0,0.0,2.5,2380128.3408338027
