,S1,S1_conf
beta,18916353.49190382,68176.04214244708
d_I,61496539.73441137,106757.01709808216
c,-5.7722346459159405e+23,1.4729759236806017e+21
d_T,-256358020.2214024,553446.1040337097
r,-9189317.743313212,116451.8333311067
k_T,-10898133287.455624,27549011.806165755
K,-170776180.7102594,498758.389761905
