,ST,ST_conf
beta,0.04038722733358474,0.046980570921152986
d_I,0.9037901369366778,0.8370174822196247
c,0.7992119180562379,0.7248246330812691
d_T,0.01063450177689656,0.010092706180632996
r,0.0012084136211500866,0.0012122970969091495
k_T,0.012733809044441272,0.017932842049318477
c_T,0.03311820999192178,0.028472105246586756
