,ST,ST_conf
beta,0.3301066944146343,0.05026537268149799
d_I,0.6146368019623937,0.07145357036401734
c,0.7595429565581634,0.05916065732380518
d_T,0.005802039369388987,0.0037773289713216394
r,0.0019490391655636974,0.001728610380427329
