,ST,ST_conf
beta,0.3311015559432779,0.0034498228708729696
d_I,0.6420065351615984,0.004533768056334688
c,0.6891631204823341,0.004213754304161662
d_T,0.000484404265896225,8.903522965285072e-05
r,0.0003186442236842648,6.021439419545042e-05
k_T,0.001076917674698105,0.00012121723140541515
K,0.06487297171595227,0.0017326152543540715
