,ST,ST_conf
p,0.170695677326947,0.06110002504159976
c_V,0.5644947886958273,0.17018885785519375
r,0.8933175282401938,0.2052550269874588
d_T,0.10597931400675821,0.04867904849497844
K,0.08435504917773157,0.057839981260874335
