,S1,S1_conf
beta,-2.93495701596603,62941626.043748476
d_I,-32.862184753134976,140237200.03867677
c,-13377955.225995127,44731590773837.516
d_T,-41801.79046957909,225236888408.0062
r,16.627851828000495,35610565.15680392
K,-25.93116501362459,59821739.576400526
