,ST,ST_conf
beta,0.0950345103574207,0.0034291427803958734
d_I,0.19785770537152989,0.004667322424079077
c,0.9402437838436838,0.0068704326867072745
d_T,3.903402310183962e-05,3.313978310957814e-05
r,4.352406533651811e-05,4.3536908784655986e-05
k_T,0.0001439506494937774,6.946507860206138e-05
K,0.2625383623400392,0.005238985964187717
