,ST,ST_conf
beta,0.3064994947164789,0.04515967775433488
d_I,0.6532192670588673,0.06962731570169901
c,0.7438521069646391,0.06604832555053454
d_T,0.00025774352572006357,0.00023605821772868912
r,0.00038292620281313956,0.0006315861196609923
k_T,0.0017470812039837725,0.002732104268186132
