,beta,d_I,p,c,d_T,r,k_T,K,U_0,I_0,T_0,V_0,RMSLE
0,2.901874323178405e-05,2.587422835064597e-06,1.0,5.243697337955119,0.00010000001754018051,0.00010000000000000009,10.0,9999999.665644579,1000000.0,0.0,25.0,477428.0,2.0730557719370397
1,2.9023594544718203e-05,2.5858384961395154e-06,1.0,5.245910413741335,0.00010000003282828462,0.00016102620275609415,10.000000014901161,9999999.499147516,1000000.0,0.0,25.0,477428.0,2.0725991996785136
2,4.85497037258767e-05,2.9769293032960722e-06,1.0,1.4792476963681267,0.0001000002254799015,0.0002592943797404667,10.000000402331352,310612.6933251787,1000000.0,0.0,25.0,477428.0,2.0649948815454597
3,2.9043855322119544e-05,2.5791949377926437e-06,1.0,5.255176541678118,0.00010000011798422248,0.00041753189365604024,10.000000074505806,9999994.784828115,1000000.0,0.0,25.0,477428.0,2.0706806595949083
4,2.9065277183369705e-05,2.572586300772507e-06,1.0,5.264760592153436,0.00010000000081855642,0.0006723357536499342,10.00000000745058,9999999.282745626,1000000.0,0.0,25.0,477428.0,2.0687756935387505
5,2.9095964896104377e-05,2.5620929714445216e-06,1.0,5.279076107436538,0.00010000002290427856,0.0010826367338740558,10.0000004991889,9999889.417166822,1000000.0,0.0,25.0,477428.0,2.0657099746787253
6,2.9152459315577544e-05,2.5451068785758174e-06,1.0,5.304152318956028,0.00010000000816784427,0.0017433288221999892,10.00000000745058,9999998.760800907,1000000.0,0.0,25.0,477428.0,2.060777998098777
7,4.847908624507102e-05,2.9009002756505127e-06,1.0,1.486162844603946,0.00010000006379223825,0.0028072162039411777,10.000000037252903,310718.13611615356,1000000.0,0.0,25.0,477428.0,2.0465128017490795
8,4.8427803698506146e-05,2.8507334618982266e-06,1.0,1.4909858831019136,0.00010000000000665032,0.004520353656360246,10.0,310829.3880720427,1000000.0,0.0,25.0,477428.0,2.034128928935898
9,4.8338098655603025e-05,2.7715519802432896e-06,1.0,1.4990432806255143,0.00010000000003701492,0.007278953843983159,10.0,311081.55146002397,1000000.0,0.0,25.0,477428.0,2.014262284010366
10,2.996494124611016e-05,2.3060049782971337e-06,1.0,5.668430122424226,0.00010000000686294364,0.011721022975334809,10.00000000745058,9999984.809595337,1000000.0,0.0,25.0,477428.0,1.9870233399420039
11,3.055049459070343e-05,2.1516583636104684e-06,1.0,5.927316101097745,0.00010000000433574296,0.018873918221350972,10.000000029802322,9999998.072632974,1000000.0,0.0,25.0,477428.0,1.9350495464356425
12,3.149647560965577e-05,1.929353139198996e-06,1.0,6.339615403852051,0.00010000000175125479,0.030391953823131992,10.0,9999998.484295025,1000000.0,0.0,25.0,477428.0,1.853110155647465
13,3.3022177581977704e-05,1.6288365028459124e-06,1.0,6.990596613816365,0.00010000000053289604,0.04893900918477498,10.0,9999999.013754241,1000000.0,0.0,25.0,477428.0,1.726313939906814
14,3.53768786415394e-05,1.2531135176817215e-06,1.0,7.829568380021527,0.00010000000130622189,0.07880462815669916,10.0,3743434.8721128856,1000000.0,0.0,25.0,477428.0,1.538223367852441
15,3.862178793487274e-05,8.345489405611444e-07,1.0,9.054066384602812,0.00010000000008586474,0.12689610031679222,10.0,2935695.684391942,1000000.0,0.0,25.0,477428.0,1.2906161386696875
16,4.6257733684333476e-05,4.583199796330081e-07,1.0,12.145966578722096,0.00010000045664432244,0.20433597178569426,10.00000036507845,5829935.286740794,1000000.0,0.0,25.0,477428.0,1.1115200572761743
17,5.189973085502563e-05,3.355485953054839e-07,1.0,14.301558300036085,0.09768159957484884,0.3290344562312671,96.63585789501667,9999999.974393805,1000000.0,0.0,25.0,477428.0,1.1607381187423527
18,4.972367747962654e-05,3.90556515083509e-07,1.0,13.72496638285351,0.00010000000082427407,0.5298316906283714,11192.395951166749,9999999.999932297,1000000.0,0.0,25.0,477428.0,1.2201577490503956
19,2.4094125703642814e-05,5.025767548961306e-07,1.0,1.3520170327106271,0.00010000005565125036,0.8531678524172807,32718.66552300006,394673.33560456615,1000000.0,0.0,25.0,477428.0,1.2559572784128405
20,4.4219672369586655e-05,4.15985934404182e-07,1.0,12.222463474706444,0.00010000023843254047,1.3738237958832633,76934.20050688088,9999999.300445141,1000000.0,0.0,25.0,477428.0,1.2614665585090372
21,1.747036315634371e-05,6.111077382181083e-06,1.0,1.2383965074081473,0.00010000005754462471,2.2122162910704506,138628.2856784463,9999994.20951453,1000000.0,0.0,25.0,477428.0,1.2990857947966226
22,1.743090170043368e-05,6.119851392100836e-06,1.0,1.2386231620259522,0.0001000000002783219,3.56224789026244,248636.41045802087,9999999.8606707,1000000.0,0.0,25.0,477428.0,1.3030538452075164
23,2.3346183237544458e-05,5.486491523070517e-07,1.0,1.3039856428626138,0.00010000000020471411,5.736152510448678,429336.65865225345,395104.20414230507,1000000.0,0.0,25.0,477428.0,1.2832320183483332
24,1.738918958909613e-05,6.125729384471908e-06,1.0,1.239116199631333,0.00010000000020593536,9.236708571873862,714638.0106049925,9999999.99771338,1000000.0,0.0,25.0,477428.0,1.3068932841490022
25,4.1290637034981934e-05,4.312654858859029e-07,1.0,11.41603601972065,0.0001000000681443125,14.873521072935121,1253145.4075143114,9999999.97271889,1000000.0,0.0,25.0,477428.0,1.280057159862065
26,1.7372500517824353e-05,6.1271107019388445e-06,1.0,1.2393767113887435,0.0001000000044693028,23.95026619987488,1925483.5626694113,9999999.817732347,1000000.0,0.0,25.0,477428.0,1.3083345222391194
