,p,k_V,c_V,r,k_T,d_T,K,T_0,V_0,RMSLE
0,0.010000000000000004,1200000.0,1.8816829745137945e-08,99.99999999839108,10344.300504773855,0.2090013364346246,3607167.1494524633,946546.4,25.0,4.5787446065113375
1,0.013738237958832639,1200000.0,2.0067561977412057e-08,99.99999999980562,10462.834675073624,0.20400991860803802,3626876.909438579,946546.4,25.0,4.5754862313986395
2,0.018873918221350972,1200000.0,2.174543588856541e-08,99.99999999985414,10619.96222216636,0.1976688892537396,3654167.8533683945,946546.4,25.0,4.570943172335643
3,0.025929437974046683,1200000.0,2.3976524141419004e-08,99.9999999972238,10825.899842083454,0.18983575278058168,3692075.657932529,946546.4,25.0,4.56457865004629
4,0.035622478902624426,1200000.0,2.690753640042289e-08,99.99999999572636,11092.100659646094,0.18052285303539028,3744908.357764611,946546.4,25.0,4.5556086401365565
5,0.04893900918477494,1200000.0,3.069450917761674e-08,99.9999999995963,11430.853224419057,0.17003049069188864,3818884.420839417,946546.4,25.0,4.54287246563412
6,0.06723357536499339,1200000.0,3.547628003153615e-08,99.99999999952053,11855.528909929097,0.15912187618423335,3923127.0225713863,946546.4,25.0,4.524626904759217
7,0.09236708571873864,1200000.0,4.132455273292326e-08,99.99999999883889,12384.567424476147,0.14921859256426673,4071340.389347068,946546.4,25.0,4.498214240896482
8,0.12689610031679222,1200000.0,4.816962742589903e-08,99.99999999988601,13059.459386192262,0.1425358780132323,4284719.446502957,946546.4,25.0,4.459520035372866
9,0.17433288221999876,1200000.0,5.575220715517762e-08,99.99999999992693,14011.083438821137,0.14178140934594735,4595832.049021354,946546.4,25.0,4.402093085463331
10,0.23950266199874848,1200000.0,6.387425493055752e-08,99.9999999997352,15671.799072228372,0.14803249495726006,5045007.214838659,946546.4,25.0,4.315880299240976
11,0.3290344562312668,1200000.0,7.345737860541213e-08,99.9999999994285,19273.88288241625,0.15573401560569272,5642264.564034091,946546.4,25.0,4.186323925580428
12,0.4520353656360242,1200000.0,8.699880809816528e-08,99.99999999998334,27773.105482302606,0.15663884134720502,6333130.191156961,946546.4,25.0,3.9955154589856283
13,0.6210169418915613,1200000.0,1.0712657937623696e-07,99.99999999996965,49857.32086351514,0.15291897813785993,7020993.801845187,946546.4,25.0,3.724831423383658
14,0.8531678524172807,1200000.0,1.378411855036267e-07,99.99999999997549,120992.87208149582,0.14905608971899653,7491773.399916051,946546.4,25.0,3.3600040316224473
15,1.1721022975334792,1200000.0,1.856009098694092e-07,99.99999999994395,413215.23935444653,0.14547195842476046,7393518.777693829,946546.4,25.0,2.898356229058002
16,1.6102620275609385,1200000.0,2.564138786301175e-07,99.99999999998228,1896981.1192210317,0.1404661718970891,6630373.49448452,946546.4,25.0,2.3481399595486874
17,2.212216291070449,1200000.0,3.8555389007936147e-07,6.866294945821281,581262.4017522112,0.12099908344651306,5651000.717137702,946546.4,25.0,1.7743019564422418
18,3.039195382313195,1200000.0,6.139535481329935e-07,0.6022401309276404,18713.464492857456,0.11812711508266349,4866840.511046772,946546.4,25.0,1.3090038329859643
19,4.175318936560399,1200000.0,1.0382803357422628e-06,0.3708986208911327,6438.084374800324,0.10130967182086448,4249575.338182962,946546.4,25.0,1.0224171970522766
20,5.736152510448673,1200000.0,2.193661553420339e-06,0.23542552370792436,1997.6812159344554,0.06254558718770409,5790439.384625333,946546.4,25.0,0.9910467090802355
21,7.8804628156699055,1200000.0,1.1261908849579552e-06,0.22545296925345326,3250.4007018134,0.0398432840353834,1153866.6051802216,946546.4,25.0,1.0372045477583576
22,10.826367338740537,1200000.0,1.064031728905265e-06,0.21943372529150196,4353.428964816034,0.02649607472822546,829887.5863588881,946546.4,25.0,1.064990538905439
23,14.873521072935095,1200000.0,1.0412000830154015e-06,0.2153975057444697,5349.111386410892,0.0172136284944594,644346.9027273385,946546.4,25.0,1.0843743524174525
24,20.4335971785694,1200000.0,1.0310602621989623e-06,0.21269836674206033,6176.781527787447,0.010763861640899208,518363.9978002496,946546.4,25.0,1.0979900209045457
25,28.07216203941175,1200000.0,1.0259931954902449e-06,0.21089992369634558,6838.8928462564945,0.006245619124152557,425413.69841887895,946546.4,25.0,1.1076278718699573
26,38.56620421163467,1200000.0,1.0232810318796593e-06,0.2096750783617196,7352.834276229143,0.003050065645748501,353464.14605812076,946546.4,25.0,1.1144965811033674
27,52.983169062837035,1200000.0,1.0217610804530775e-06,0.20882067865144904,7742.2238100245595,0.0007774529677639364,296058.22711744066,946546.4,25.0,1.11941838518793
28,72.78953843983146,1200000.0,1.0166767061993347e-06,0.20873761529691848,7919.7547807991505,0.00010000374404084411,249358.90248108935,946546.4,25.0,1.1229685725916987
29,99.99999999999994,1200000.0,1.0110797172336222e-06,0.20893791155239683,7992.999661371112,0.00010000102257140542,210825.19112330303,946546.4,25.0,1.1255598350329312
