,Resample,RMSLE,p,k_V,c_V,r,d_T,T_0,V_0
112,113.0,1.4805716082841773,2.976931884757043,1200000.0,2.1926707849201582e-06,3.0194143408462327e-06,0.012,477428.0,25.0
113,114.0,1.439128508486998,2.244558536720916,1200000.0,1.8338436679630742e-06,6.352628466340109e-06,0.012,378465.3333333333,25.0
114,115.0,1.3161737718049917,4.827564405916277,1200000.0,4.7213862221728595e-06,2.413056132967427e-06,0.012,576390.6666666666,25.0
115,116.0,1.4751020704037623,3.1381016458462128,1200000.0,3.005726214276935e-06,4.734057989997609e-06,0.012,477428.0,25.0
116,117.0,1.287842197913255,2.4413943136615757,1200000.0,1.888528239675437e-06,7.088454377582445e-06,0.012,477428.0,25.0
117,118.0,1.3208452797669856,2.892232319908196,1200000.0,2.127781568106683e-06,3.883707969102142e-06,0.012,517910.6666666667,25.0
118,119.0,1.3232578010636813,2.728076255699115,1200000.0,2.3479905186199145e-06,5.704348604883084e-06,0.012,477428.0,25.0
119,120.0,1.337917658219782,2.5854509739122946,1200000.0,2.0327801476227627e-06,5.20875058663011e-06,0.012,477428.0,25.0
120,121.0,1.3577351169477243,2.812810914987679,1200000.0,1.9606118514902714e-06,4.855006583303313e-06,0.012,576390.6666666666,25.0
121,122.0,1.3238864220840754,2.6500008882536505,1200000.0,1.795461414916433e-06,5.561952464614174e-06,0.012,576390.6666666666,25.0
122,123.0,1.3814717736331663,2.753955155899547,1200000.0,2.118185846509659e-06,4.010272261307314e-06,0.012,477428.0,25.0
123,124.0,1.3563292241372242,2.635830148857231,1200000.0,1.638197378274993e-06,3.2081551326671904e-06,0.012,477428.0,25.0
124,125.0,1.369562008603085,3.31210005110367,1200000.0,2.6866875431998916e-06,3.8926151764418266e-06,0.012,576390.6666666666,25.0
125,126.0,1.3249468986341746,2.864483637070215,1200000.0,2.4309304566789243e-06,4.586648831931826e-06,0.012,477428.0,25.0
126,127.0,1.3680228506301917,2.8022579633619458,1200000.0,2.2466346281583253e-06,4.253803230714087e-06,0.012,477428.0,25.0
127,128.0,1.2121403840844691,3.667507087661349,1200000.0,2.6233455330154336e-06,3.7580708613260168e-06,0.012,715836.0,25.0
128,129.0,1.4527700411719928,2.897086271892526,1200000.0,2.38706735312134e-06,4.003448050805132e-06,0.012,477428.0,25.0
129,130.0,1.5201607656655942,2.6541056595470494,1200000.0,2.2839600857556394e-06,3.621900496980861e-06,0.012,378465.3333333333,25.0
130,131.0,1.2309211620481044,2.601226298762356,1200000.0,1.6222666161182404e-06,3.8506898570116494e-06,0.012,517910.6666666667,25.0
131,132.0,1.3680040471070678,2.6805859705818165,1200000.0,1.9515496530368395e-06,3.4429768712587757e-06,0.012,436945.3333333333,25.0
132,133.0,1.3394506399380453,2.6216565153789304,1200000.0,2.080312775310833e-06,3.986239478404269e-06,0.012,418948.0,25.0
133,134.0,1.2033938771151018,2.9071059771968564,1200000.0,1.9244023002771e-06,4.496975506290938e-06,0.012,616873.3333333334,25.0
134,135.0,1.3310928647562736,2.9435331982595727,1200000.0,2.149996602029996e-06,3.12740038350097e-06,0.012,477428.0,25.0
135,136.0,1.2499181338076466,2.9413249691958967,1200000.0,2.354431475366183e-06,6.35293392319824e-06,0.012,576390.6666666666,25.0
136,137.0,1.4060439537774416,2.426875456290418,1200000.0,2.0571885622455e-06,5.160829672811232e-06,0.012,378465.3333333333,25.0
137,138.0,1.2495814563155698,2.7457151312011305,1200000.0,1.8710959333075925e-06,4.81172679492791e-06,0.012,576390.6666666666,25.0
138,139.0,1.4397531622493842,2.2614044002431655,1200000.0,1.6347915880564069e-06,4.950256280771654e-06,0.012,378465.3333333333,25.0
139,140.0,1.428440306028107,2.8029124643051944,1200000.0,2.355511792546365e-06,3.072612797434792e-06,0.012,378465.3333333333,25.0
140,141.0,1.280037396139868,2.580762105514353,1200000.0,2.157183993817415e-06,5.296647227014223e-06,0.012,436945.3333333333,25.0
141,142.0,1.2409093551914228,2.899004511457676,1200000.0,1.8757127371237537e-06,3.977349607279439e-06,0.012,616873.3333333334,25.0
142,143.0,1.28026233405895,2.848987589522409,1200000.0,2.075746200783167e-06,3.929646406606826e-06,0.012,517910.6666666667,25.0
143,144.0,1.4320404982404684,2.425383362148068,1200000.0,2.1286616494802242e-06,4.2132002507063726e-06,0.012,337982.6666666667,25.0
144,145.0,1.301483774507887,2.853189845768682,1200000.0,2.0731843512926054e-06,6.197268403771622e-06,0.012,616873.3333333334,25.0
145,146.0,1.3123039152203595,2.7539798317442177,1200000.0,2.1789878108223752e-06,5.49266768166316e-06,0.012,517910.6666666667,25.0
146,147.0,1.4171606216700503,2.541431588860668,1200000.0,1.880623539940969e-06,5.249000546662267e-06,0.012,477428.0,25.0
147,148.0,1.28447238780422,2.7529749357530022,1200000.0,1.8598944257695296e-06,5.716412527938354e-06,0.012,616873.3333333334,25.0
148,149.0,1.4129362312959026,2.1694536706789123,1200000.0,1.9881273123837682e-06,7.703582092155968e-06,0.012,337982.6666666667,25.0
149,150.0,1.4383950720289522,2.3929571721591714,1200000.0,1.6108922166089098e-06,4.286854958956278e-06,0.012,436945.3333333333,25.0
150,151.0,1.3198366826966206,2.7375282630185183,1200000.0,2.082377302675544e-06,4.113221192976234e-06,0.012,477428.0,25.0
151,152.0,1.229035301466094,3.7532000182798697,1200000.0,2.7471917905521755e-06,3.8043324137518924e-06,0.012,715836.0,25.0
152,153.0,1.3782496672936595,2.8020038263295746,1200000.0,2.4966308856143844e-06,3.4862476920438098e-06,0.012,378465.3333333333,25.0
153,154.0,1.4082636529853874,2.7411251007754274,1200000.0,1.9792488944976523e-06,3.1599301963311364e-06,0.012,436945.3333333333,25.0
154,155.0,1.3226728941770607,2.504550614135475,1200000.0,1.8340076237653239e-06,4.50536254814414e-06,0.012,436945.3333333333,25.0
155,156.0,1.4517529234896844,2.366501949029349,1200000.0,1.6951689389533992e-06,5.273838208523819e-06,0.012,436945.3333333333,25.0
156,157.0,1.316348246390287,2.204323114960708,1200000.0,1.6583880787344346e-06,7.130884125140674e-06,0.012,418948.0,25.0
157,158.0,1.3639128818549675,2.47337072641281,1200000.0,1.8755470355074665e-06,4.904364708562537e-06,0.012,436945.3333333333,25.0
158,159.0,1.36622543678469,2.416042862383307,1200000.0,1.8160500037340543e-06,3.991330615114532e-06,0.012,378465.3333333333,25.0
159,160.0,1.4104626435157694,2.525639567503859,1200000.0,2.0689457453730215e-06,3.412792746545187e-06,0.012,337982.6666666667,25.0
160,161.0,1.3913874671013782,2.601937435830841,1200000.0,2.066594125914363e-06,3.0067960619562e-06,0.012,337982.6666666667,25.0
161,162.0,1.414722849761613,3.0792096542259415,1200000.0,2.345909851857991e-06,3.2770672859414358e-06,0.012,517910.6666666667,25.0
162,163.0,1.2412273473947606,3.0414481851412702,1200000.0,1.9355269310911144e-06,3.443490294062783e-06,0.012,616873.3333333334,25.0
163,164.0,1.3845479328572863,2.6640692078160626,1200000.0,2.299234474328252e-06,4.982495962774099e-06,0.012,436945.3333333333,25.0
164,165.0,1.4262715218687316,2.4931648089152247,1200000.0,2.2279132234752385e-06,4.135779190521946e-06,0.012,337982.6666666667,25.0
165,166.0,1.3073507237720892,2.6541311051770435,1200000.0,2.2035114319165437e-06,4.201264204189745e-06,0.012,418948.0,25.0
166,167.0,1.287878294862925,2.7780444923155656,1200000.0,1.908872339256795e-06,4.74067259232313e-06,0.012,576390.6666666666,25.0
167,168.0,1.323580960373616,2.5329250056949846,1200000.0,1.7742547053902565e-06,4.5159007569745834e-06,0.012,477428.0,25.0
168,169.0,1.384351695380756,2.5784530993132577,1200000.0,1.8014661954790496e-06,4.217499604949585e-06,0.012,477428.0,25.0
169,170.0,1.4045021162625653,2.6129872374937264,1200000.0,1.943283430749165e-06,4.607137754175463e-06,0.012,477428.0,25.0
170,171.0,1.3825748184685507,2.535981477073797,1200000.0,2.183036034863911e-06,5.469724278809187e-06,0.012,418948.0,25.0
171,172.0,1.3591835395509413,2.266446529526526,1200000.0,1.846547282344635e-06,4.7523835764969315e-06,0.012,337982.6666666667,25.0
172,173.0,1.4348795801130434,2.9486027868601425,1200000.0,2.7103386057428567e-06,3.079949388436514e-06,0.012,378465.3333333333,25.0
173,174.0,1.4140203071297393,2.424733866437755,1200000.0,2.067242359123661e-06,4.210446820259878e-06,0.012,337982.6666666667,25.0
174,175.0,1.3973799922208814,2.5790457100160538,1200000.0,1.9049300005800326e-06,4.765942814802601e-06,0.012,477428.0,25.0
175,176.0,1.3754726504434478,2.5802614004394826,1200000.0,2.176477911635783e-06,4.748141474910037e-06,0.012,418948.0,25.0
176,177.0,1.3651018533294186,2.662355971027374,1200000.0,1.8685706294303345e-06,3.810023528892809e-06,0.012,477428.0,25.0
177,178.0,1.5048563798983106,2.055141416152651,1200000.0,1.8997830136473865e-06,1.0209948545479687e-05,0.012,337982.6666666667,25.0
178,179.0,1.2906105417554476,2.554463075749041,1200000.0,2.142727241586078e-06,5.433204662737008e-06,0.012,436945.3333333333,25.0
179,180.0,1.2445851642691368,3.0839977479612344,1200000.0,2.195620823949122e-06,4.156325028714337e-06,0.012,616873.3333333334,25.0
180,181.0,1.34231783492199,2.583305818105778,1200000.0,1.9101177139673446e-06,4.671943207472287e-06,0.012,477428.0,25.0
181,182.0,1.4164240075968388,2.9707808558473445,1200000.0,2.5020215044047606e-06,3.870172541185788e-06,0.012,477428.0,25.0
182,183.0,1.2963567592742808,2.7065212024015324,1200000.0,1.600992384937767e-06,3.571511362449201e-06,0.012,576390.6666666666,25.0
183,184.0,1.3366775948726746,2.7845244422534563,1200000.0,2.056861660054704e-06,3.1741916208174805e-06,0.012,436945.3333333333,25.0
184,185.0,1.4325877689272013,2.864274219686216,1200000.0,2.487982301368554e-06,3.929969214232623e-06,0.012,436945.3333333333,25.0
185,186.0,1.3122535649744007,2.800220246799384,1200000.0,1.969744871975211e-06,3.2960752055032124e-06,0.012,477428.0,25.0
186,187.0,1.3999712519373024,2.521413959434099,1200000.0,1.9959275512353535e-06,3.712902008326268e-06,0.012,378465.3333333333,25.0
187,188.0,1.2037941228982836,3.0645041107919724,1200000.0,2.202463324461666e-06,3.5584359330717745e-06,0.012,576390.6666666666,25.0
188,189.0,1.4648752493263568,2.6226601814811445,1200000.0,2.50370689085145e-06,3.869582220612074e-06,0.012,337982.6666666667,25.0
189,190.0,1.3429289444598858,2.804817357365387,1200000.0,2.4112285027871343e-06,4.979975228867951e-06,0.012,477428.0,25.0
190,191.0,1.1767170746445206,2.905487933511303,1200000.0,2.023585540951328e-06,2.9153112161345638e-06,0.012,477428.0,25.0
191,192.0,1.3515447878838458,2.704634658019188,1200000.0,2.107932691161214e-06,4.494854933993189e-06,0.012,477428.0,25.0
192,193.0,1.5494437750746408,2.1315629165706937,1200000.0,1.7506084921737914e-06,5.349214013198431e-06,0.012,297500.0,25.0
193,194.0,1.2451502413544915,2.352618233074807,1200000.0,1.7469239811507666e-06,4.322156333276528e-06,0.012,378465.3333333333,25.0
194,195.0,1.2651692973169126,2.8629813674877056,1200000.0,1.7763133627054245e-06,3.88178499778488e-06,0.012,616873.3333333334,25.0
195,196.0,1.307963070264475,2.5385674366598607,1200000.0,2.013175642133734e-06,3.6519940364493746e-06,0.012,378465.3333333333,25.0
196,197.0,1.5594303783178827,2.257967277855755,1200000.0,1.87650468177713e-06,5.182281089379812e-06,0.012,337982.6666666667,25.0
197,198.0,1.2993862847898123,2.846934823628729,1200000.0,2.3147752857710527e-06,4.100099157443837e-06,0.012,477428.0,25.0
198,199.0,1.2832003305189825,3.0957915891524976,1200000.0,2.2599979606401373e-06,3.639036662174751e-06,0.012,576390.6666666666,25.0
199,200.0,1.3033377457054618,2.70848953350049,1200000.0,2.117618069618401e-06,5.692255193080703e-06,0.012,517910.6666666667,25.0
