,ST,ST_conf
p,0.8727361469698889,0.004289599962492328
c_V,0.4276540104322395,0.003527714468094677
r,0.01408634483275215,0.0006660812571291192
k_T,0.035927468551987744,0.0011629130991406362
d_T,0.029927411679470287,0.001046592788770021
