,ST,ST_conf
beta,0.34528928181511,0.11848319247407099
d_I,0.6170656772659471,0.17544371617681562
c,0.8295232677083617,0.16213202378548666
d_T,0.4650394348243469,0.24057752354278306
r,0.0010231367372253621,0.0014656858552221422
k_T,0.0301640453645052,0.05392884049502378
c_T,0.31035909646224585,0.13899771931590954
