,S2,S2_conf
"('beta', 'd_I')",-0.34908272113042926,2.0646758392238262
"('beta', 'c')",-1.0120820379889466,1.7435393288913361
"('beta', 'd_T')",-0.8201958562752181,1.620983151133941
"('beta', 'r')",-0.8299155715664337,1.6263355991318922
"('beta', 'c_T')",-0.8249754497804002,1.6218118856778847
"('beta', 'K')",-0.8295112808668526,1.6264061791440267
"('d_I', 'c')",-13932.716146738794,37118.53356777573
"('d_I', 'd_T')",-13934.33181703937,37111.10600775993
"('d_I', 'r')",-13935.465893665025,37114.016682957445
"('d_I', 'c_T')",-13936.207249114319,37116.017282107496
"('d_I', 'K')",-13935.300532389629,37113.61093928107
"('c', 'd_T')",82.087477363599,240.10863556569032
"('c', 'r')",82.06441896970465,240.08389997662067
"('c', 'c_T')",82.06537650635866,240.08802888879364
"('c', 'K')",82.09185704233131,240.07061344576258
"('d_T', 'r')",0.08157412786919999,3.529433180946772
"('d_T', 'c_T')",0.07750101533412265,3.527893993489456
"('d_T', 'K')",0.08211454904644389,3.5293701475050465
"('r', 'c_T')",-37738.43215591553,96831.9195790725
"('r', 'K')",-37737.66868979686,96829.96050209236
"('c_T', 'K')",-0.37977482605656776,1.2606185864732704
